Date,Time,Open,High,Low,Close,Volume
2018/10/22,08:46:00,16948,16950,16935,16947,2858
2018/10/22,08:47:00,16947,16954,16942,16954,990
2018/10/22,08:48:00,16954,16955,16947,16949,799
2018/10/22,08:49:00,16950,16953,16949,16953,349
2018/10/22,08:50:00,16953,16957,16948,16948,602
2018/10/22,08:51:00,16949,16950,16942,16944,659
2018/10/22,08:52:00,16944,16946,16940,16946,492
2018/10/22,08:53:00,16945,16946,16938,16944,1285
2018/10/22,08:54:00,16944,16947,16940,16943,464
2018/10/22,08:55:00,16944,16944,16941,16944,294
2018/10/22,08:56:00,16945,16946,16942,16943,382
2018/10/22,08:57:00,16944,16951,16943,16949,372
2018/10/22,08:58:00,16949,16956,16947,16952,518
2018/10/22,08:59:00,16952,16952,16944,16946,437
2018/10/22,09:00:00,16946,16947,16942,16943,449
2018/10/22,09:01:00,16943,16957,16941,16945,1429
2018/10/22,09:02:00,16946,16955,16942,16955,818
2018/10/22,09:03:00,16955,16956,16947,16954,917
2018/10/22,09:04:00,16953,16953,16942,16947,899
2018/10/22,09:05:00,16947,16953,16942,16950,867
2018/10/22,09:06:00,16951,16954,16942,16942,960
2018/10/22,09:07:00,16942,16948,16940,16948,780
2018/10/22,09:08:00,16948,16956,16944,16951,953
2018/10/22,09:09:00,16952,16952,16942,16945,942
2018/10/22,09:10:00,16945,16952,16942,16950,481
2018/10/22,09:11:00,16950,16951,16946,16948,368
2018/10/22,09:12:00,16947,16947,16922,16926,3221
2018/10/22,09:13:00,16926,16928,16909,16912,2087
2018/10/22,09:14:00,16912,16921,16905,16919,2311
2018/10/22,09:15:00,16917,16917,16909,16911,1245
2018/10/22,09:16:00,16912,16917,16896,16915,2674
2018/10/22,09:17:00,16915,16928,16913,16924,1249
2018/10/22,09:18:00,16923,16924,16915,16923,699
2018/10/22,09:19:00,16923,16932,16921,16930,1054
2018/10/22,09:20:00,16930,16930,16919,16922,506
2018/10/22,09:21:00,16923,16925,16914,16917,906
2018/10/22,09:22:00,16917,16920,16914,16915,600
2018/10/22,09:23:00,16916,16923,16915,16922,486
2018/10/22,09:24:00,16922,16931,16920,16929,703
2018/10/22,09:25:00,16929,16930,16916,16919,748
2018/10/22,09:26:00,16919,16927,16917,16924,581
2018/10/22,09:27:00,16925,16931,16921,16931,529
2018/10/22,09:28:00,16931,16943,16924,16943,1170
2018/10/22,09:29:00,16943,16945,16936,16942,1131
2018/10/22,09:30:00,16942,16943,16939,16942,507
2018/10/22,09:31:00,16942,16951,16942,16945,1242
2018/10/22,09:32:00,16945,16954,16945,16952,1340
2018/10/22,09:33:00,16951,16956,16946,16954,1324
2018/10/22,09:34:00,16954,16964,16954,16963,1899
2018/10/22,09:35:00,16963,16965,16958,16961,914
2018/10/22,09:36:00,16961,16967,16958,16961,1029
2018/10/22,09:37:00,16961,16966,16957,16960,737
2018/10/22,09:38:00,16960,16973,16959,16970,1224
2018/10/22,09:39:00,16970,16971,16961,16963,809
2018/10/22,09:40:00,16963,16965,16959,16959,634
2018/10/22,09:41:00,16960,16964,16956,16956,757
2018/10/22,09:42:00,16956,16960,16949,16951,1084
2018/10/22,09:43:00,16952,16969,16950,16967,1142
2018/10/22,09:44:00,16967,16981,16967,16981,1935
2018/10/22,09:45:00,16980,16984,16977,16981,1111
2018/10/22,09:46:00,16982,16987,16979,16984,1347
2018/10/22,09:47:00,16985,16987,16978,16979,815
2018/10/22,09:48:00,16980,16986,16980,16982,542
2018/10/22,09:49:00,16982,16990,16970,16972,1379
2018/10/22,09:50:00,16971,16981,16971,16973,488
2018/10/22,09:51:00,16973,16975,16968,16968,690
2018/10/22,09:52:00,16970,16970,16961,16964,775
2018/10/22,09:53:00,16964,16970,16963,16967,560
2018/10/22,09:54:00,16967,16968,16962,16967,349
2018/10/22,09:55:00,16967,16967,16961,16964,426
2018/10/22,09:56:00,16964,16974,16962,16973,547
2018/10/22,09:57:00,16972,16974,16959,16964,821
2018/10/22,09:58:00,16964,16970,16960,16961,417
2018/10/22,09:59:00,16961,16963,16955,16961,778
2018/10/22,10:00:00,16961,16964,16958,16962,372
2018/10/22,10:01:00,16962,16968,16961,16965,412
2018/10/22,10:02:00,16965,16967,16954,16954,683
2018/10/22,10:03:00,16955,16960,16954,16959,255
2018/10/22,10:04:00,16959,16968,16958,16963,605
2018/10/22,10:05:00,16963,16967,16960,16966,289
2018/10/22,10:06:00,16966,16968,16965,16968,244
2018/10/22,10:07:00,16968,16975,16967,16973,841
2018/10/22,10:08:00,16974,16978,16973,16974,575
2018/10/22,10:09:00,16975,16975,16968,16970,463
2018/10/22,10:10:00,16969,16975,16969,16973,308
2018/10/22,10:11:00,16973,16979,16972,16975,511
2018/10/22,10:12:00,16976,16980,16975,16978,654
2018/10/22,10:13:00,16978,16984,16976,16984,616
2018/10/22,10:14:00,16983,16984,16978,16984,596
2018/10/22,10:15:00,16983,16986,16982,16983,656
2018/10/22,10:16:00,16984,16987,16981,16981,526
2018/10/22,10:17:00,16980,16985,16978,16980,346
2018/10/22,10:18:00,16980,16982,16974,16974,456
2018/10/22,10:19:00,16974,16976,16971,16971,405
2018/10/22,10:20:00,16972,16972,16964,16966,657
2018/10/22,10:21:00,16965,16966,16961,16963,509
2018/10/22,10:22:00,16962,16963,16959,16963,579
2018/10/22,10:23:00,16963,16963,16956,16958,636
2018/10/22,10:24:00,16959,16961,16958,16958,260
2018/10/22,10:25:00,16958,16967,16958,16966,514
2018/10/22,10:26:00,16965,16967,16965,16966,199
2018/10/22,10:27:00,16967,16969,16964,16968,203
2018/10/22,10:28:00,16967,16969,16965,16967,204
2018/10/22,10:29:00,16968,16968,16960,16962,395
2018/10/22,10:30:00,16961,16967,16961,16965,237
2018/10/22,10:31:00,16965,16970,16965,16969,242
2018/10/22,10:32:00,16969,16983,16969,16982,775
2018/10/22,10:33:00,16982,17002,16981,16997,2153
2018/10/22,10:34:00,16998,17001,16996,16997,1020
2018/10/22,10:35:00,16997,17012,16997,17009,1416
2018/10/22,10:36:00,17010,17020,17008,17018,1817
2018/10/22,10:37:00,17018,17021,17013,17017,954
2018/10/22,10:38:00,17016,17018,17011,17017,585
2018/10/22,10:39:00,17017,17031,17015,17025,1470
2018/10/22,10:40:00,17025,17027,17018,17019,946
2018/10/22,10:41:00,17019,17024,17019,17021,519
2018/10/22,10:42:00,17021,17025,17020,17022,499
2018/10/22,10:43:00,17022,17027,17021,17026,421
2018/10/22,10:44:00,17027,17027,17022,17023,329
2018/10/22,10:45:00,17023,17028,17020,17020,476
2018/10/22,10:46:00,17021,17026,17020,17020,521
2018/10/22,10:47:00,17021,17026,17020,17023,366
2018/10/22,10:48:00,17023,17034,17023,17028,992
2018/10/22,10:49:00,17027,17033,17026,17033,416
2018/10/22,10:50:00,17033,17038,17030,17038,838
2018/10/22,10:51:00,17037,17043,17037,17039,996
2018/10/22,10:52:00,17040,17047,17039,17046,824
2018/10/22,10:53:00,17046,17053,17041,17044,1619
2018/10/22,10:54:00,17044,17050,17044,17048,535
2018/10/22,10:55:00,17047,17051,17045,17047,525
2018/10/22,10:56:00,17046,17058,17046,17057,1063
2018/10/22,10:57:00,17058,17063,17055,17058,1041
2018/10/22,10:58:00,17057,17066,17056,17064,864
2018/10/22,10:59:00,17064,17074,17064,17068,1380
2018/10/22,11:00:00,17068,17080,17067,17079,1251
2018/10/22,11:01:00,17078,17088,17078,17088,1891
2018/10/22,11:02:00,17087,17093,17080,17080,1543
2018/10/22,11:03:00,17081,17085,17072,17073,1046
2018/10/22,11:04:00,17073,17075,17069,17070,820
2018/10/22,11:05:00,17071,17074,17061,17061,950
