date,base_max,base_min,break_max,break_min,break_last,direction,key_point,enter_time,break_time,pre_enter_time,pre_enter_direction,pre_enter_point,bonus,bonus_time,max_bonus,max_bonus_time,max_lose,max_lose_time
2019/06/03,10437,10422,10434,10373,10388,down,10393,09:06:00,09:05:00,09:04:00,down,10421,26,09:15:00,27,09:15:00,61,11:25:00
2019/06/04,10480,10454,10463,10438,10440,down,10446,09:42:00,09:40:00,09:19:00,up,10481,26,10:04:00,45,10:46:00,8,09:51:00
2019/06/05,10503,10485,10507,10483,10484,down,10491,09:14:00,09:10:00,09:04:00,up,10504,26,09:38:00,39,11:30:00,9,09:16:00
2019/06/06,10437,10372,10373,10353,10365,down,10359,,10:00:00,09:54:00,down,10371,,,,,,
2019/06/10,10485,10465,10493,10474,10491,up,10487,09:01:00,09:00:00,08:59:00,up,10486,-26,09:15:00,56,11:06:00,45,09:19:00
2019/06/11,10562,10540,10567,10552,10564,up,10562,,09:20:00,09:09:00,down,10539,,,,,,
2019/06/12,10589,10574,10598,10581,10597,up,10593,09:16:00,09:15:00,09:04:00,down,10573,-26,09:39:00,12,09:25:00,29,09:40:00
2019/06/13,10564,10551,10567,10535,10566,up,10557,09:46:00,09:05:00,09:04:00,down,10550,-26,10:01:00,8,09:46:00,60,10:16:00
2019/06/14,10547,10532,10539,10524,10525,down,10529,09:02:00,09:00:00,08:59:00,down,10531,-26,10:30:00,13,09:02:00,29,10:31:00
2019/06/17,10493,10470,10486,10462,10465,down,10470,09:13:00,09:10:00,09:04:00,down,10469,-26,09:21:00,3,09:13:00,95,09:46:00
2019/06/18,10552,10534,10559,10549,10558,up,10556,09:01:00,09:00:00,08:59:00,up,10553,-26,09:52:00,20,09:04:00,30,09:52:00
2019/06/19,10689,10667,10693,10673,10693,up,10687,09:16:00,09:15:00,09:15:00,up,10690,26,09:33:00,40,09:36:00,10,09:19:00
2019/06/20,10581,10567,10583,10571,10582,up,10579,09:57:00,09:55:00,09:04:00,down,10566,26,11:26:00,26,11:26:00,3,10:07:00
2019/06/21,10640,10622,10628,10608,10616,down,10614,09:16:00,09:15:00,09:14:00,down,10621,15,11:30:00,19,11:28:00,18,09:35:00
2019/06/24,10610,10590,10596,10572,10584,down,10580,09:06:00,09:05:00,09:04:00,down,10589,26,09:22:00,27,09:22:00,67,10:52:00
2019/06/25,10623,10608,10612,10598,10602,down,10602,09:21:00,09:20:00,09:04:00,up,10624,26,10:31:00,71,11:06:00,16,09:33:00
2019/06/26,10538,10518,10523,10510,10513,down,10514,09:31:00,09:30:00,09:29:00,down,10517,1,11:30:00,12,09:47:00,19,10:38:00
2019/06/27,10555,10532,10575,10545,10563,up,10565,09:06:00,09:05:00,09:04:00,up,10556,26,09:15:00,74,11:30:00,3,09:06:00
2019/06/28,10623,10607,10613,10593,10600,down,10599,09:21:00,09:20:00,09:04:00,up,10624,26,09:46:00,40,10:40:00,7,09:29:00
