date,base_max,base_min,break_max,break_min,break_direction,break_time,break_key_point,pre_enter_direction,pre_enter_time,pre_enter,enter_direction,enter_time,enter_point,bonus,bonus_time,max_bonus,max_bonus_time,max_lose,max_lose_time
2019/01/02,9762,9741,9743,9734,down,09:00:00,9740.0,down,09:04:00,9709,,,,,,,,,
2019/01/03,9494,9470,9486,9464,down,09:00:00,9478.0,down,09:04:00,9457,down,09:09:00,9478.0,45,09:25:00,45.0,09:25:00,69.0,10:06:00
2019/01/04,9394,9355,9381,9343,down,09:05:00,9368.0,down,09:19:00,9342,down,09:13:00,9368.0,34,09:26:00,63.0,09:31:00,42.0,11:29:00
2019/01/07,9559,9526,9536,9518,down,09:00:00,9530.0,down,09:04:00,9513,down,09:15:00,9530.0,0,10:03:00,40.0,09:40:00,58.0,12:51:00
2019/01/08,9611,9592,9596,9574,down,09:05:00,9588.0,down,09:04:00,9579,down,09:04:00,9579,7,10:45:00,47,09:19:00,7,09:06:00
2019/01/09,9635,9606,9657,9629,up,09:20:00,9639.0,up,09:19:00,9648,up,09:19:00,9648,57,09:46:00,107,12:54:00,4,09:19:00
2019/01/10,9710,9688,9698,9679,down,09:15:00,9691.0,down,09:40:00,9675,down,09:21:00,9691.0,0,09:55:00,17.0,09:41:00,22.0,10:08:00
2019/01/11,9772,9748,9754,9734,down,09:25:00,9747.0,down,09:24:00,9735,down,09:24:00,9735,-25,09:46:00,11,09:32:00,68,10:06:00
2019/01/14,9744,9726,9756,9743,up,09:15:00,9748.0,down,09:55:00,9713,up,09:16:00,9748.0,-25,09:37:00,3.0,09:16:00,88.0,11:22:00
2019/01/15,9749,9733,9744,9723,down,09:00:00,9737.0,down,09:04:00,9720,down,09:12:00,9737.0,0,09:40:00,20.0,09:34:00,80.0,10:19:00
2019/01/16,9790,9775,9802,9783,up,09:15:00,9790.0,down,09:34:00,9762,up,09:16:00,9790.0,-25,09:32:00,14.0,10:33:00,35.0,09:36:00
2019/01/17,9796,9772,9814,9788,up,09:05:00,9797.0,up,09:04:00,9810,up,09:04:00,9810,-25,09:17:00,24,09:08:00,89,09:46:00
2019/01/18,9830,9812,9813,9783,down,09:05:00,9803.0,down,09:04:00,9787,down,09:04:00,9787,-25,09:33:00,17,09:08:00,59,11:20:00
2019/01/21,9903,9883,9896,9875,down,09:10:00,9889.0,down,09:14:00,9867,down,09:34:00,9889.0,-25,09:46:00,29.0,13:40:00,30.0,10:09:00
2019/01/22,9847,9822,9856,9836,up,09:15:00,9843.0,up,09:20:00,9860,up,09:45:00,9843.0,-4.0,10:45:00,16.0,10:34:00,15.0,12:03:00
2019/01/23,9832,9816,9837,9827,up,09:30:00,9831.0,up,09:35:00,9845,up,10:05:00,9831.0,6.0,10:45:00,14.0,10:28:00,24.0,13:03:00
2019/01/24,9842,9831,9867,9836,up,09:05:00,9847.0,up,09:05:00,9855,up,09:05:00,9855,0,09:43:00,29,09:06:00,35,10:35:00
2019/01/25,9944,9922,9933,9912,down,09:15:00,9926.0,up,09:44:00,9957,down,09:30:00,9926.0,-25,09:34:00,8.0,09:30:00,63.0,11:45:00
2019/01/28,10005,9975,10015,10000,up,09:55:00,10005.0,,,,up,09:58:00,10005.0,-7.0,10:45:00,13.0,10:06:00,20.0,11:11:00
2019/01/29,9933,9917,9927,9907,down,09:00:00,9920.0,down,10:10:00,9904,down,09:17:00,9920.0,35.0,10:45:00,40.0,10:41:00,16.0,09:31:00
2019/01/30,9929,9912,9916,9907,down,09:25:00,9913.0,down,09:30:00,9899,down,09:51:00,9913.0,2.0,10:45:00,9.0,10:02:00,43.0,11:23:00
