date,base_max,base_min,break_max,break_min,break_last,direction,key_point,enter_time,break_time,pre_enter_time,pre_enter_direction,pre_enter_point,bonus,bonus_time,max_bonus,max_bonus_time,max_lose,max_lose_time
2019/03/04,10400,10344,10357,10333,10334,down,10341,09:36:00,09:10:00,09:10:00,down,10343,26,09:43:00,65,10:42:00,2,09:36:00
2019/03/05,10268,10248,10279,10257,10277,up,10272,09:07:00,09:05:00,09:04:00,up,10269,26,10:58:00,34,11:04:00,22,09:48:00
2019/03/06,10304,10282,10320,10298,10318,up,10313,09:07:00,09:05:00,09:04:00,up,10305,11,11:30:00,20,10:39:00,19,09:31:00
2019/03/07,10319,10304,10324,10315,10322,up,10321,09:06:00,09:05:00,09:04:00,up,10320,-26,09:42:00,14,09:14:00,31,09:59:00
2019/03/08,10236,10219,10228,10212,10213,down,10217,10:42:00,09:00:00,08:59:00,down,10218,-26,10:47:00,12,10:42:00,27,10:47:00
2019/03/11,10185,10168,10195,10183,10186,up,10191,09:11:00,09:10:00,09:04:00,up,10186,26,09:30:00,34,09:34:00,13,09:13:00
2019/03/12,10327,10300,10340,10321,10333,up,10334,09:26:00,09:25:00,09:04:00,up,10328,26,09:46:00,51,11:10:00,4,09:26:00
2019/03/13,10332,10322,10345,10327,10344,up,10339,09:06:00,09:05:00,09:04:00,up,10333,-26,09:38:00,8,11:26:00,34,10:33:00
2019/03/14,10392,10370,10378,10363,10366,down,10368,09:17:00,09:15:00,09:04:00,down,10369,26,10:51:00,34,11:29:00,10,09:20:00
2019/03/15,10363,10347,10367,10357,10365,up,10364,09:16:00,09:15:00,09:14:00,up,10364,26,09:35:00,66,11:01:00,6,09:18:00
2019/03/18,10440,10425,10448,10424,10445,up,10440,09:09:00,09:05:00,09:04:00,up,10441,26,10:37:00,34,10:59:00,20,09:19:00
2019/03/19,10492,10477,10486,10474,10474,down,10478,09:06:00,09:05:00,09:04:00,down,10476,-26,11:26:00,17,09:56:00,27,11:28:00
2019/03/20,10504,10492,10510,10498,10509,up,10506,09:54:00,09:00:00,08:59:00,up,10505,26,11:01:00,27,11:02:00,6,10:15:00
2019/03/21,10554,10532,10564,10549,10561,up,10559,09:24:00,09:20:00,09:19:00,up,10555,26,10:48:00,28,10:48:00,24,09:31:00
2019/03/22,10652,10639,10654,10633,10636,down,10640,09:06:00,09:05:00,09:04:00,down,10638,26,10:14:00,80,11:01:00,19,09:37:00
2019/03/25,10479,10461,10473,10456,10456,down,10461,09:12:00,09:00:00,08:59:00,down,10460,15,11:30:00,23,09:22:00,25,10:02:00
2019/03/26,10501,10480,10514,10497,10511,up,10509,09:56:00,09:05:00,09:04:00,up,10502,26,10:22:00,26,10:22:00,7,11:21:00
2019/03/27,10513,10486,10499,10476,10476,down,10483,09:16:00,09:15:00,09:14:00,down,10485,-26,09:43:00,10,09:16:00,48,11:17:00
2019/03/28,10462,10444,10476,10457,10474,up,10470,09:21:00,09:00:00,08:59:00,up,10463,26,10:22:00,41,10:52:00,14,09:46:00
2019/03/29,10568,10549,10565,10536,10541,down,10545,11:03:00,09:00:00,08:59:00,down,10548,-26,11:16:00,5,11:03:00,31,11:16:00
