date,base_max,base_min,break_max,break_min,break_last,direction,key_point,enter_time,break_time,pre_enter_time,pre_enter_direction,pre_enter_point,bonus,bonus_time,max_bonus,max_bonus_time,max_lose,max_lose_time
2019/02/11,10035,10009,10067,10031,10062,up,10055,09:11:00,09:10:00,09:04:00,up,10036,-26,09:13:00,10,09:11:00,89,09:51:00
2019/02/12,10052,10038,10040,10029,10035,down,10032,09:06:00,09:05:00,09:04:00,down,10037,-26,09:35:00,-1,09:06:00,53,11:26:00
2019/02/13,10128,10111,10119,10099,10105,down,10105,09:11:00,09:10:00,09:09:00,down,10110,26,09:30:00,50,10:23:00,1,09:16:00
2019/02/14,10055,10034,10077,10054,10077,up,10070,09:06:00,09:05:00,09:04:00,up,10056,26,09:16:00,54,09:46:00,2,09:06:00
2019/02/15,10055,10037,10075,10051,10074,up,10067,09:03:00,09:00:00,08:59:00,up,10056,26,09:20:00,49,09:31:00,45,10:45:00
2019/02/18,10119,10099,10125,10098,10125,up,10116,09:11:00,09:05:00,09:04:00,up,10120,26,09:35:00,45,10:34:00,11,09:16:00
2019/02/19,10125,10104,10134,10115,10133,up,10128,09:01:00,09:00:00,08:59:00,up,10126,26,09:51:00,27,09:56:00,4,09:02:00
2019/02/20,10200,10177,10212,10198,10206,up,10208,09:06:00,09:05:00,09:04:00,up,10201,26,09:16:00,54,09:46:00,11,10:36:00
2019/02/21,10269,10245,10252,10235,10236,down,10240,09:31:00,09:30:00,09:15:00,up,10270,-26,10:08:00,8,09:34:00,44,11:01:00
2019/02/22,10284,10265,10283,10260,10261,down,10267,09:49:00,09:20:00,09:19:00,down,10264,-11,11:30:00,19,09:56:00,20,10:53:00
2019/02/25,10353,10333,10366,10345,10361,up,10359,09:36:00,09:35:00,09:04:00,down,10332,-26,09:57:00,19,09:47:00,35,10:50:00
2019/02/26,10388,10369,10372,10356,10361,down,10361,09:36:00,09:35:00,09:04:00,down,10368,-26,10:15:00,25,10:46:00,26,10:15:00
2019/02/27,10384,10371,10377,10365,10368,down,10369,09:11:00,09:10:00,09:09:00,down,10370,26,09:19:00,44,09:21:00,7,09:11:00
