date,base_max,base_min,break_max,break_min,break_direction,break_time,break_key_point,pre_enter_direction,pre_enter_time,pre_enter,enter_direction,enter_time,enter_point,bonus,bonus_time,max_bonus,max_bonus_time,max_lose,max_lose_time
2019/05/02,10949,10933,10973,10944,up,09:00:00,10954.0,up,08:59:00,10962,up,08:59:00,10962,60,09:26:00,71,09:28:00,5,08:59:00
2019/05/03,10994,10975,11003,10976,up,09:00:00,10985.0,up,09:19:00,11016,up,09:44:00,10985.0,40,10:42:00,109.0,13:45:00,5.0,09:46:00
2019/05/06,10980,10941,10951,10924,down,09:00:00,10942.0,down,08:59:00,10928,down,08:59:00,10928,60,09:06:00,107,10:58:00,3,09:00:00
2019/05/07,10932,10900,10942,10929,up,09:40:00,10934.0,up,09:44:00,10950,,,,,,,,,
2019/05/08,10905,10841,10906,10885,up,09:30:00,10892.0,up,09:44:00,10918,up,10:15:00,10892.0,32,10:34:00,51.0,10:52:00,1.0,13:43:00
2019/05/09,10854,10809,10812,10781,down,09:55:00,10801.0,down,09:54:00,10790,down,09:54:00,10790,55,10:21:00,74,12:44:00,7,10:03:00
2019/05/10,10766,10731,10783,10762,up,09:00:00,10769.0,up,08:59:00,10780,up,08:59:00,10780,0,09:22:00,70,10:00:00,134,12:36:00
2019/05/13,10708,10673,10681,10653,down,09:25:00,10671.0,down,09:24:00,10656,down,09:24:00,10656,-14,09:30:00,91,13:35:00,17,09:50:00
2019/05/14,10490,10424,10472,10399,down,09:05:00,10447.0,down,09:04:00,10411,down,09:04:00,10411,-14,09:04:00,12,09:04:00,160,10:31:00
2019/05/15,10544,10513,10554,10532,up,09:05:00,10540.0,up,09:19:00,10557,up,09:12:00,10540.0,0,09:22:00,69.0,12:13:00,10.0,09:13:00
2019/05/16,10549,10532,10553,10524,down,09:05:00,10543.0,down,09:09:00,10508,down,09:48:00,10543.0,0,10:14:00,60.0,13:35:00,31.0,10:45:00
2019/05/17,10565,10546,10551,10530,down,09:20:00,10544.0,down,09:19:00,10533,down,09:19:00,10533,0,10:01:00,127,13:33:00,5,09:19:00
2019/05/20,10472,10432,10479,10444,up,09:15:00,10456.0,down,10:05:00,10419,up,09:22:00,10456.0,0,09:35:00,29.0,09:42:00,51.0,10:07:00
2019/05/21,10412,10389,10420,10378,up,09:05:00,10392.0,up,09:09:00,10425,,,,,,,,,
2019/05/22,10487,10470,10477,10453,down,09:00:00,10469.0,down,08:59:00,10457,down,08:59:00,10457,-20,09:17:00,4,08:59:00,58,10:14:00
2019/05/23,10424,10381,10391,10342,down,09:05:00,10374.0,down,09:04:00,10355,down,09:04:00,10355,55,09:35:00,70,10:22:00,3,09:20:00
2019/05/24,10356,10315,10361,10341,up,09:20:00,10348.0,up,09:34:00,10369,up,09:23:00,10348.0,32,09:38:00,38.0,09:39:00,28.0,10:34:00
2019/05/27,10390,10347,10358,10343,down,09:15:00,10353.0,down,09:19:00,10329,,,,,,,,,
2019/05/28,10374,10357,10364,10351,down,09:00:00,10359.0,down,09:04:00,10337,,,,,,,,,
2019/05/29,10246,10218,10254,10228,up,09:05:00,10237.0,up,09:19:00,10259,,,,,,,,,
2019/05/30,10312,10279,10329,10300,up,09:10:00,10310.0,up,09:09:00,10325,up,09:09:00,10325,0,09:56:00,57,13:04:00,8,10:09:00
2019/05/31,10352,10330,10358,10342,up,09:05:00,10348.0,up,09:09:00,10370,,,,,,,,,
