date,base_max,base_min,break_max,break_min,break_direction,break_time,break_key_point,pre_enter_direction,pre_enter_time,pre_enter,enter_direction,enter_time,enter_point,bonus,bonus_time,max_bonus,max_bonus_time,max_lose,max_lose_time
2021/01/04,14665,14635,14675,14648,up,09:05:00,14657.0,up,09:09:00,14704,up,09:20:00,14657.0,0,09:20:00,268.0,12:17:00,7.0,09:20:00
2021/01/05,14888,14855,14896,14859,up,09:10:00,14872.0,up,09:15:00,14901,up,09:29:00,14872.0,-25,09:35:00,108.0,13:43:00,36.0,09:37:00
2021/01/06,15074,15038,15084,15059,up,09:15:00,15068.0,up,09:19:00,15100,up,09:31:00,15068.0,0,09:31:00,33.0,09:31:00,304.0,12:04:00
2021/01/07,15090,15041,15107,15074,up,09:20:00,15085.0,up,09:19:00,15104,up,09:19:00,15104,-25,09:21:00,156,13:25:00,80,09:34:00
2021/01/08,15422,15371,15393,15332,down,09:05:00,15372.0,down,09:04:00,15341,down,09:04:00,15341,0,09:22:00,77,10:04:00,132,13:26:00
2021/01/11,15428,15383,15447,15414,up,09:10:00,15425.0,up,09:04:00,15444,up,09:04:00,15444,-25,09:05:00,94,13:30:00,75,10:08:00
2021/01/12,15548,15511,15576,15521,up,09:10:00,15540.0,up,09:09:00,15561,up,09:09:00,15561,0,09:16:00,44,09:13:00,154,13:06:00
2021/01/13,15585,15555,15601,15569,up,09:05:00,15580.0,up,09:04:00,15598,up,09:04:00,15598,-25,09:08:00,192,13:15:00,32,09:11:00
2021/01/14,15706,15666,15672,15652,down,09:00:00,15665.0,up,09:14:00,15725,down,09:01:00,15665.0,-24,09:06:00,33.0,09:40:00,101.0,12:38:00
2021/01/15,16002,15940,15996,15904,down,09:05:00,15965.0,down,09:04:00,15920,down,09:04:00,15920,0,09:14:00,336,13:31:00,18,09:15:00
2021/01/18,15679,15625,15678,15605,down,09:05:00,15653.0,down,09:04:00,15612,down,09:04:00,15612,-25,09:04:00,285,09:21:00,43,09:04:00
2021/01/19,15748,15710,15786,15748,up,09:10:00,15761.0,up,09:09:00,15785,up,09:09:00,15785,-25,09:09:00,161,13:23:00,62,09:23:00
2021/01/20,15913,15872,15950,15908,up,09:05:00,15922.0,up,09:04:00,15940,up,09:04:00,15940,-25,09:07:00,24,09:22:00,205,13:06:00
2021/01/21,15813,15769,15841,15780,up,09:05:00,15801.0,up,09:04:00,15826,up,09:04:00,15826,57,09:16:00,357,11:17:00,12,09:04:00
2021/01/22,16052,15984,16017,15973,down,09:00:00,16002.0,up,09:44:00,16065,down,09:02:00,16002.0,-24,09:04:00,74.0,11:53:00,83.0,10:06:00
2021/01/25,16004,15950,15989,15881,down,09:05:00,15953.0,down,09:04:00,15937,down,09:04:00,15937,0,09:04:00,218,09:54:00,41,09:17:00
2021/01/26,15916,15852,15972,15909,up,09:05:00,15930.0,up,09:04:00,15935,up,09:04:00,15935,0,09:08:00,39,09:06:00,398,13:07:00
2021/01/27,15754,15720,15729,15681,down,09:10:00,15713.0,down,09:09:00,15685,down,09:09:00,15685,-25,09:09:00,100,11:13:00,129,09:41:00
2021/01/28,15420,15350,15450,15403,up,09:10:00,15419.0,up,09:09:00,15433,up,09:09:00,15433,57,09:22:00,91,09:46:00,128,11:52:00
2021/01/29,15518,15472,15529,15488,up,09:00:00,15502.0,up,09:14:00,15531,up,09:03:00,15502.0,0,09:03:00,37.0,09:13:00,439.0,13:45:00
