date,base_max,base_min,break_max,break_min,break_last,direction,break_time,pre_enter_time,pre_enter_direction,pre_enter_point
2019/06/03,10437,10422,10434,10373,10388,down,09:05:00,09:02:00,down,10413
2019/06/04,10480,10454,10463,10438,10440,down,09:40:00,09:39:00,down,10445
2019/06/05,10503,10485,10507,10483,10484,down,09:10:00,09:24:00,down,10476
2019/06/06,10437,10372,10373,10353,10365,down,10:00:00,09:01:00,down,10363
2019/06/10,10485,10465,10493,10474,10491,up,09:00:00,09:01:00,up,10494
2019/06/11,10562,10540,10567,10552,10564,up,09:20:00,09:25:00,up,10571
2019/06/12,10589,10574,10598,10581,10597,up,09:15:00,09:02:00,down,10565
2019/06/13,10564,10551,10567,10535,10566,up,09:05:00,09:02:00,down,10542
2019/06/14,10547,10532,10539,10524,10525,down,09:00:00,09:01:00,down,10523
2019/06/17,10493,10470,10486,10462,10465,down,09:10:00,09:11:00,down,10461
2019/06/18,10552,10534,10559,10549,10558,up,09:00:00,09:01:00,up,10561
2019/06/19,10689,10667,10693,10673,10693,up,09:15:00,09:30:00,up,10698
2019/06/20,10581,10567,10583,10571,10582,up,09:55:00,09:04:00,down,10558
2019/06/21,10640,10622,10628,10608,10616,down,09:15:00,09:12:00,down,10613
2019/06/24,10610,10590,10596,10572,10584,down,09:05:00,09:02:00,down,10581
2019/06/25,10623,10608,10612,10598,10602,down,09:20:00,09:19:00,down,10599
2019/06/26,10538,10518,10523,10510,10513,down,09:30:00,09:31:00,down,10509
2019/06/27,10555,10532,10575,10545,10563,up,09:05:00,09:01:00,up,10564
2019/06/28,10623,10607,10613,10593,10600,down,09:20:00,09:16:00,down,10598
