date,max,max_time,min,min_time
2019/06/25,10630,09:05:00,10523,12:30:00
2019/06/26,10541,09:10:00,10499,12:15:00
2019/06/27,10642,13:15:00,10532,08:50:00
2019/06/28,10627,09:05:00,10550,13:10:00
2019/07/01,10780,11:00:00,10693,09:00:00
2019/07/02,10766,09:50:00,10729,09:15:00
2019/07/03,10741,08:50:00,10202,08:50:00
2019/07/04,10729,09:40:00,10677,10:50:00
2019/07/05,10749,09:05:00,10682,10:00:00
2019/07/08,10711,09:30:00,10630,08:50:00
2019/07/09,10699,08:50:00,10631,11:30:00
2019/07/10,10741,13:20:00,10689,10:05:00
2019/07/11,10833,12:00:00,10772,09:20:00
2019/07/12,10830,10:10:00,10788,08:50:00
2019/07/15,10860,12:15:00,10730,09:35:00
2019/07/16,10892,11:40:00,10851,09:05:00
2019/07/17,10855,13:00:00,10805,11:10:00
2019/07/18,10676,09:35:00,10623,08:50:00
2019/07/19,10792,10:15:00,10727,13:45:00
2019/07/22,10798,11:30:00,10729,08:50:00
2019/07/23,10836,10:00:00,10785,10:50:00
2019/07/24,10835,09:05:00,10792,13:20:00
2019/07/25,10831,08:50:00,10769,09:10:00
2019/07/26,10795,10:20:00,10765,09:25:00
2019/07/29,10802,12:20:00,10744,09:05:00
2019/07/30,10836,09:05:00,10751,13:45:00
2019/07/31,10743,12:25:00,10674,10:35:00
2019/08/01,10697,10:10:00,10623,11:05:00
2019/08/02,10535,08:50:00,10441,10:40:00
2019/08/05,10460,09:10:00,10358,11:35:00
2019/08/06,10387,12:10:00,10095,08:50:00
2019/08/07,10375,09:05:00,10301,10:45:00
2019/08/08,10454,10:00:00,10340,09:05:00
2019/08/12,10477,10:30:00,10380,08:50:00
2019/08/13,10400,09:05:00,10319,10:05:00
2019/08/14,10492,09:20:00,10416,13:35:00
2019/08/15,10335,10:00:00,10242,08:50:00
2019/08/16,10421,13:10:00,10288,09:45:00
2019/08/19,10489,11:05:00,10419,08:50:00
2019/08/20,10530,11:15:00,10478,08:55:00
2019/08/21,10544,13:00:00,10505,08:50:00
2019/08/22,10564,09:35:00,10464,11:15:00
2019/08/23,10513,11:15:00,10460,09:35:00
2019/08/26,10367,10:50:00,10294,10:20:00
2019/08/27,10390,08:50:00,10343,13:30:00
2019/08/28,10438,09:35:00,10388,08:50:00
2019/08/30,10584,13:35:00,10517,08:50:00
2019/09/02,10615,13:30:00,10556,08:50:00
2019/09/03,10632,10:10:00,10537,13:15:00
2019/09/04,10657,13:25:00,10558,08:50:00
2019/09/05,10762,10:10:00,10703,09:25:00
2019/09/06,10783,12:20:00,10741,09:55:00
2019/09/09,10827,09:05:00,10773,10:50:00
2019/09/10,10814,08:50:00,10731,10:30:00
2019/09/11,10808,09:10:00,10751,10:20:00
2019/09/12,10870,09:00:00,10801,10:30:00
2019/09/16,10885,11:50:00,10802,08:50:00
2019/09/17,10910,08:50:00,10858,10:10:00
2019/09/18,10963,13:10:00,10884,09:10:00
2019/09/19,10936,09:30:00,10851,11:20:00
2019/09/20,10912,09:35:00,10884,09:55:00
2019/09/23,10929,09:55:00,10872,11:05:00
2019/09/24,10932,11:25:00,10865,09:50:00
2019/09/25,10873,08:50:00,10805,10:10:00
2019/09/26,10895,09:05:00,10828,12:20:00
2019/09/27,10897,09:05:00,10811,13:30:00
2019/10/01,10962,13:30:00,10856,08:50:00
2019/10/02,10948,10:45:00,10912,08:50:00
2019/10/03,10877,11:35:00,10773,08:55:00
2019/10/04,10912,09:10:00,10820,11:20:00
2019/10/07,10937,10:05:00,10886,09:05:00
2019/10/08,11021,11:00:00,10950,08:50:00
2019/10/09,10969,09:30:00,10880,13:45:00
2019/10/14,11092,10:15:00,11030,09:20:00
2019/10/15,11122,10:55:00,11073,08:50:00
2019/10/16,11171,10:45:00,11130,09:40:00
2019/10/17,11161,13:40:00,11117,09:05:00
2019/10/18,11223,09:15:00,11132,11:05:00
2019/10/21,11168,11:15:00,11133,09:35:00
2019/10/22,11252,09:20:00,11191,10:00:00
2019/10/23,11254,09:40:00,11182,12:15:00
2019/10/24,11292,13:45:00,11225,08:50:00
2019/10/25,11328,09:00:00,11264,09:50:00
2019/10/28,11342,08:50:00,11291,09:50:00
2019/10/29,11366,09:45:00,11293,12:25:00
2019/10/30,11351,13:05:00,11295,09:10:00
2019/10/31,11396,09:50:00,11341,13:30:00
2019/11/01,11377,13:35:00,11316,09:20:00
2019/11/04,11554,13:25:00,11413,08:50:00
2019/11/05,11650,13:45:00,11566,09:05:00
2019/11/06,11675,13:10:00,11600,10:45:00
2019/11/07,11637,09:35:00,11558,11:40:00
2019/11/08,11648,08:50:00,11554,10:30:00
2019/11/11,11581,08:50:00,11424,13:05:00
2019/11/12,11528,13:45:00,11466,10:05:00
2019/11/13,11494,09:35:00,11428,10:10:00
2019/11/14,11496,09:05:00,11413,11:00:00
2019/11/15,11563,09:10:00,11480,08:50:00
2019/11/18,11594,13:35:00,11507,08:50:00
2019/11/19,11654,13:35:00,11563,09:00:00
2019/11/20,11644,08:55:00,11594,12:00:00
2019/11/21,11551,13:35:00,11450,10:00:00
2019/11/22,11592,08:50:00,11531,11:10:00
2019/11/25,11629,09:00:00,11559,13:30:00
2019/11/26,11658,09:50:00,11603,09:10:00
2019/11/27,11651,13:30:00,11596,09:40:00
2019/11/29,11613,08:50:00,11462,13:45:00
2019/12/02,11533,09:05:00,11459,10:05:00
2019/12/03,11527,11:25:00,11439,08:50:00
2019/12/04,11505,13:45:00,11443,11:15:00
2019/12/05,11618,09:45:00,11532,09:00:00
2019/12/06,11670,09:00:00,11580,12:40:00
2019/12/09,11699,10:45:00,11633,09:10:00
2019/12/10,11656,08:50:00,11605,13:00:00
2019/12/11,11706,13:45:00,11594,08:50:00
2019/12/12,11888,11:00:00,11754,08:50:00
2019/12/13,12007,08:50:00,11917,10:30:00
2019/12/16,11976,10:25:00,11922,09:05:00
2019/12/17,12102,13:45:00,11945,09:00:00
2019/12/18,12129,12:25:00,12065,08:50:00
2019/12/19,12115,08:50:00,12015,13:30:00
2019/12/20,12063,08:50:00,11951,09:25:00
2019/12/23,12028,09:10:00,11972,09:45:00
2019/12/24,12044,08:50:00,11983,13:36:00
2019/12/25,12027,13:25:00,11976,09:00:00
2019/12/26,12042,08:50:00,11986,10:05:00
2019/12/27,12112,10:55:00,12037,08:50:00
2019/12/30,12125,09:15:00,12065,13:10:00
2019/12/31,12049,09:20:00,11992,13:45:00
2020/01/02,12120,12:20:00,12023,09:25:00
2020/01/03,12198,09:20:00,11996,10:50:00
2020/01/06,12034,08:50:00,11948,13:45:00
2020/01/07,12009,08:50:00,11816,11:25:00
2020/01/08,11892,10:50:00,11697,08:50:00
2020/01/09,11998,10:55:00,11883,09:05:00
2020/01/10,12042,09:05:00,11953,10:05:00
2020/01/13,12121,11:05:00,12044,09:10:00
2020/01/14,12199,09:50:00,12148,13:05:00
2020/01/15,12175,09:15:00,12058,13:10:00
2020/01/16,12078,10:05:00,11990,09:05:00
2020/01/17,12118,08:50:00,12029,09:50:00
2020/01/20,12160,10:35:00,12097,09:10:00
2020/01/30,11798,08:55:00,11366,13:45:00
2020/01/31,11567,09:20:00,11407,10:00:00
2020/02/03,11370,10:20:00,11152,09:10:00
2020/02/04,11557,11:40:00,11362,08:50:00
2020/02/05,11620,10:35:00,11474,09:15:00
2020/02/06,11744,13:30:00,11628,09:05:00
2020/02/07,11666,08:50:00,11566,13:05:00
2020/02/10,11598,10:40:00,11402,09:10:00
2020/02/11,11689,10:50:00,11613,09:10:00
2020/02/12,11797,13:10:00,11647,08:55:00
2020/02/13,11837,09:15:00,11762,12:55:00
2020/02/14,11852,11:10:00,11755,08:50:00
2020/02/17,11792,09:50:00,11702,08:50:00
2020/02/18,11719,08:50:00,11627,12:30:00
2020/02/19,11805,12:35:00,11637,09:35:00
2020/02/20,11830,08:50:00,11679,11:35:00
2020/02/21,11765,09:20:00,11636,11:00:00
2020/02/24,11587,09:20:00,11476,11:05:00
2020/02/25,11561,13:10:00,11386,08:55:00
2020/02/26,11482,10:40:00,11365,09:05:00
2020/02/27,11447,09:05:00,11237,13:00:00
2020/03/02,11278,11:00:00,11005,08:50:00
2020/03/03,11375,11:55:00,11278,09:50:00
2020/03/04,11369,09:05:00,11267,10:20:00
2020/03/05,11501,13:20:00,11428,08:55:00
2020/03/06,11420,09:05:00,11260,10:20:00
2020/03/09,11108,09:20:00,10916,10:45:00
2020/03/10,10996,13:20:00,10779,10:50:00
2020/03/11,11029,09:15:00,10807,13:40:00
2020/03/12,10765,08:50:00,10161,10:10:00
2020/03/13,10147,13:20:00,9450,09:30:00
2020/03/16,10055,09:10:00,9636,13:00:00
2020/03/17,9677,09:35:00,9271,08:50:00
2020/03/18,9489,09:55:00,9205,12:50:00
2020/03/19,8872,08:50:00,8268,11:10:00
2020/03/19,9166,10:25:00,8397,15:15:00
2020/03/20,9340,18:00:00,8555,09:10:00
2020/03/23,9295,10:40:00,8658,15:40:00
2020/03/24,9624,09:55:00,9240,15:20:00
2020/03/25,9788,17:35:00,9426,09:30:00
2020/03/26,9910,08:50:00,9525,20:20:00
2020/03/30,9576,13:45:00,9266,09:20:00
2020/03/31,9717,09:05:00,9495,12:45:00
2020/04/01,9650,10:20:00,9551,13:45:00
2020/04/06,9860,08:50:00,9582,09:50:00
2020/04/07,10020,09:25:00,9878,10:20:00
2020/04/08,10135,13:20:00,9945,08:50:00
2020/04/09,10197,09:15:00,10028,11:10:00
2020/04/10,10140,13:25:00,10030,08:50:00
2020/04/13,10149,10:20:00,10031,09:20:00
2020/04/14,10355,12:35:00,10125,09:05:00
2020/04/15,10463,12:30:00,10330,08:50:00
2020/04/16,10343,12:20:00,10161,08:50:00
2020/04/17,10669,09:50:00,10456,11:45:00
2020/04/20,10560,08:50:00,10458,09:45:00
2020/04/21,10467,09:35:00,10144,10:45:00
2020/04/22,10226,13:45:00,10065,09:10:00
2020/04/23,10402,09:25:00,10154,10:50:00
2020/04/24,10292,11:10:00,10211,09:25:00
2020/04/27,10567,13:05:00,10368,08:50:00
2020/04/28,10605,08:50:00,10480,10:05:00
2020/04/29,10770,12:10:00,10631,09:05:00
2020/04/30,10971,12:30:00,10803,08:50:00
2020/05/04,10699,12:10:00,10477,09:00:00
2020/05/05,10795,10:05:00,10658,10:55:00
2020/05/06,10780,09:45:00,10618,09:15:00
2020/05/07,10877,11:20:00,10710,08:55:00
2020/05/08,10956,09:10:00,10853,10:15:00
2020/05/11,11038,10:00:00,10935,09:10:00
2020/05/12,10932,09:40:00,10802,11:40:00
2020/05/13,10925,12:50:00,10776,08:50:00
2020/05/14,10877,09:20:00,10738,13:40:00
2020/05/15,10869,09:10:00,10701,10:20:00
2020/05/18,10824,11:25:00,10724,09:40:00
2020/05/19,10964,08:50:00,10836,11:10:00
2020/05/20,10960,09:50:00,10853,11:05:00
2020/05/21,11008,09:35:00,10894,09:10:00
2020/05/22,10935,08:50:00,10723,13:25:00
2020/05/25,10840,13:30:00,10651,09:35:00
2020/05/26,11027,10:35:00,10891,09:05:00
2020/05/27,11037,09:05:00,10926,10:25:00
2020/05/28,11077,08:55:00,10856,12:25:00
2020/06/01,11103,09:55:00,10971,08:50:00
2020/06/02,11140,09:20:00,11072,10:20:00
2020/06/03,11299,13:15:00,11206,09:40:00
2020/06/04,11425,09:00:00,11306,10:40:00
2020/06/05,11473,12:30:00,11377,08:55:00
2020/06/08,11626,10:50:00,11491,09:25:00
2020/06/09,11622,10:05:00,11521,09:10:00
2020/06/10,11730,10:20:00,11596,09:10:00
2020/06/11,11738,09:10:00,11475,13:20:00
2020/06/12,11432,10:20:00,11250,09:10:00
2020/06/15,11446,10:25:00,11216,13:45:00
2020/06/16,11554,10:50:00,11421,09:30:00
2020/06/17,11568,12:30:00,11467,10:35:00
2020/06/18,11425,09:15:00,11295,09:40:00
2020/06/19,11439,08:50:00,11361,09:20:00
2020/06/22,11498,09:35:00,11362,08:50:00
2020/06/23,11540,09:05:00,11346,09:45:00
2020/06/24,11570,09:25:00,11503,11:35:00
2020/06/29,11458,09:20:00,11315,11:50:00
2020/06/30,11502,13:10:00,11412,10:00:00
2020/07/01,11623,12:25:00,11472,08:50:00
2020/07/02,11712,12:50:00,11566,09:10:00
2020/07/03,11850,09:25:00,11752,09:45:00
2020/07/06,12072,12:00:00,11905,08:55:00
2020/07/07,12192,09:05:00,11990,10:05:00
2020/07/08,12145,11:50:00,12025,09:05:00
2020/07/09,12222,09:10:00,12118,10:40:00
2020/07/10,12213,08:50:00,11987,13:40:00
2020/07/13,12210,13:25:00,12105,09:55:00
2020/07/14,12224,10:05:00,12119,10:40:00
2020/07/15,12323,09:15:00,12150,12:00:00
2020/07/16,12094,09:20:00,11931,11:25:00
2020/07/17,12138,10:40:00,12011,12:50:00
2020/07/20,12075,08:50:00,11903,09:20:00
2020/07/22,12361,11:20:00,12256,09:05:00
2020/07/23,12313,08:50:00,12199,10:45:00
2020/07/24,12352,10:25:00,12123,12:20:00
2020/07/27,12572,09:20:00,12407,08:50:00
2020/07/28,12900,09:20:00,12408,11:50:00
2020/07/29,12543,11:30:00,12392,09:40:00
2020/07/30,12627,08:50:00,12488,10:20:00
2020/07/31,12644,09:40:00,12525,11:10:00
2020/08/03,12567,09:35:00,12405,12:20:00
2020/08/04,12632,13:45:00,12489,09:30:00
2020/08/05,12746,13:45:00,12643,10:05:00
2020/08/06,12925,09:45:00,12753,10:15:00
2020/08/07,12866,08:50:00,12706,10:35:00
2020/08/10,12905,10:35:00,12720,09:05:00
2020/08/11,12874,10:15:00,12727,13:45:00
2020/08/12,12701,08:50:00,12565,09:55:00
2020/08/13,12836,08:55:00,12702,10:15:00
2020/08/14,12790,13:45:00,12646,09:10:00
2020/08/17,12959,10:50:00,12771,08:50:00
2020/08/18,12998,08:55:00,12836,10:55:00
2020/08/19,12955,09:20:00,12780,12:55:00
2020/08/20,12709,08:55:00,12067,10:45:00
2020/08/21,12598,12:35:00,12423,09:50:00
2020/08/24,12653,09:45:00,12503,09:05:00
2020/08/25,12795,10:10:00,12643,09:15:00
2020/08/26,12799,13:45:00,12681,09:20:00
2020/08/27,12925,09:35:00,12735,11:10:00
2020/08/28,12782,10:10:00,12634,12:50:00
2020/08/31,12826,09:20:00,12563,13:35:00
2020/09/01,12698,13:30:00,12531,09:30:00
2020/09/02,12776,09:10:00,12595,11:40:00
2020/09/03,12858,10:10:00,12705,13:05:00
2020/09/04,12651,09:50:00,12510,11:20:00
2020/09/07,12733,09:50:00,12560,13:15:00
2020/09/08,12695,10:55:00,12610,09:35:00
2020/09/09,12606,13:20:00,12434,09:20:00
2020/09/10,12706,10:00:00,12622,09:45:00
2020/09/11,12689,09:15:00,12606,11:35:00
2020/09/14,12797,12:20:00,12678,09:25:00
2020/09/15,12855,13:10:00,12756,08:50:00
2020/09/16,13018,12:30:00,12900,13:05:00
2020/09/17,12908,09:35:00,12772,11:25:00
2020/09/18,12866,10:25:00,12773,09:35:00
2020/09/21,12877,09:35:00,12655,13:45:00
2020/09/22,12655,09:05:00,12481,13:25:00
2020/09/23,12563,08:50:00,12441,11:05:00
2020/09/24,12414,08:50:00,12166,11:35:00
2020/09/25,12309,09:30:00,12114,12:40:00
2020/09/28,12421,13:35:00,12246,09:10:00
2020/09/29,12522,09:10:00,12395,11:35:00
2020/09/30,12548,10:40:00,12444,09:10:00
2020/10/05,12620,09:15:00,12486,12:05:00
2020/10/06,12704,10:30:00,12614,08:50:00
2020/10/07,12758,13:45:00,12606,09:05:00
2020/10/08,12876,13:45:00,12772,09:20:00
2020/10/12,12995,10:05:00,12878,11:30:00
2020/10/13,12952,08:50:00,12816,09:25:00
2020/10/14,12956,09:15:00,12871,13:30:00
2020/10/15,12892,09:25:00,12727,11:05:00
2020/10/16,12865,10:45:00,12718,13:35:00
2020/10/19,12912,13:25:00,12782,08:50:00
2020/10/20,12905,09:25:00,12844,10:00:00
2020/10/21,12946,09:50:00,12851,13:10:00
2020/10/22,12839,13:45:00,12707,08:50:00
2020/10/23,12883,09:05:00,12795,09:55:00
2020/10/26,12935,09:35:00,12820,09:45:00
2020/10/27,12833,08:50:00,12765,09:25:00
2020/10/28,12809,09:40:00,12713,13:10:00
2020/10/29,12640,10:35:00,12504,09:10:00
2020/10/30,12563,09:05:00,12407,13:45:00
2020/11/02,12531,13:40:00,12402,10:30:00
2020/11/03,12715,11:00:00,12602,09:25:00
2020/11/04,12879,11:50:00,12662,09:30:00
