date,base_max,base_min,break_max,break_min,break_direction,break_time,break_key_point,pre_enter_direction,pre_enter_time,pre_enter,enter_direction,enter_time,enter_point,bonus,bonus_time,max_bonus,max_bonus_time,max_lose,max_lose_time
2021/02/01,15218,15147,15156,15095,down,09:20:00,15135.0,down,09:04:00,15134,down,09:04:00,15134,-25,09:05:00,44,09:25:00,264,13:23:00
2021/02/02,15485,15459,15510,15470,up,09:00:00,15484.0,up,08:59:00,15498,up,08:59:00,15498,60,09:04:00,322,11:53:00,6,08:59:00
2021/02/03,15875,15845,15853,15828,down,09:00:00,15844.0,down,08:59:00,15832,down,08:59:00,15832,0,09:01:00,116,09:42:00,16,09:02:00
2021/02/04,15726,15642,15668,15630,down,09:00:00,15655.0,down,09:04:00,15629,down,09:28:00,15655.0,0,09:28:00,30.0,12:31:00,122.0,10:12:00
2021/02/05,15839,15803,15818,15778,down,09:05:00,15804.0,down,09:04:00,15790,down,09:04:00,15790,0,09:11:00,39,09:24:00,194,10:25:00
2021/02/17,16277,16179,16371,16238,up,09:35:00,16283.0,up,09:35:00,16290,up,09:35:00,16290,0,09:35:00,143,11:45:00,104,09:43:00
2021/02/18,16382,16354,16366,16333,down,09:00:00,16355.0,down,09:00:00,16341,down,09:00:00,16341,0,09:01:00,54,09:45:00,184,11:19:00
2021/02/19,16313,16288,16328,16270,up,09:05:00,16290.0,up,09:04:00,16326,up,09:04:00,16326,-25,09:06:00,2,09:04:00,196,10:58:00
2021/02/22,16509,16468,16496,16455,down,09:00:00,16482.0,down,09:00:00,16455,down,09:00:00,16455,-20,09:00:00,119,10:54:00,109,09:21:00
2021/02/23,16248,16195,16278,16206,up,09:20:00,16230.0,up,09:04:00,16261,up,09:04:00,16261,-25,09:06:00,190,13:09:00,79,09:13:00
2021/02/24,16312,16281,16334,16285,up,09:05:00,16302.0,up,09:04:00,16330,up,09:04:00,16330,57,09:12:00,105,09:52:00,197,12:23:00
2021/02/25,16403,16375,16400,16364,down,09:05:00,16388.0,down,09:09:00,16362,down,09:08:00,16388.0,0,09:09:00,145.0,11:22:00,34.0,09:18:00
2021/02/26,16039,15996,16088,16024,up,09:00:00,16046.0,up,08:59:00,16063,up,08:59:00,16063,0,08:59:00,55,09:24:00,211,09:50:00
