date,base_max,base_min,break_max,break_min,break_direction,break_time,break_key_point,pre_enter_direction,pre_enter_time,pre_enter,enter_direction,enter_time,enter_point,bonus,bonus_time,max_bonus,max_bonus_time,max_lose,max_lose_time
2021/03/02,16277,16211,16238,16172,down,09:05:00,16216.0,down,09:04:00,16187,down,09:04:00,16187,0,09:28:00,319,13:28:00,18,09:19:00
2021/03/03,16030,15981,15994,15957,down,09:15:00,15981.0,down,09:10:00,15968,down,09:10:00,15968,-25,09:10:00,83,09:31:00,228,13:28:00
2021/03/04,16054,16010,16063,15980,down,09:05:00,16035.0,down,09:05:00,15997,down,09:05:00,15997,-25,09:06:00,241,12:16:00,69,09:13:00
2021/03/05,15634,15580,15665,15621,up,09:10:00,15636.0,up,09:09:00,15647,up,09:09:00,15647,-25,09:10:00,267,11:55:00,40,09:12:00
2021/03/08,15973,15942,15989,15954,up,09:00:00,15966.0,up,09:00:00,15986,up,09:00:00,15986,0,09:01:00,109,10:10:00,219,12:46:00
2021/03/09,15810,15692,15742,15651,down,09:40:00,15711.0,down,09:39:00,15679,down,09:39:00,15679,-25,09:39:00,71,09:59:00,169,11:16:00
2021/03/10,15986,15942,15948,15934,down,09:00:00,15943.0,down,09:04:00,15919,down,09:13:00,15943.0,0,09:13:00,135.0,10:32:00,25.0,09:20:00
2021/03/11,15973,15942,15980,15954,up,09:00:00,15963.0,up,09:09:00,15986,up,09:04:00,15963.0,45,09:11:00,251.0,11:56:00,0,
2021/03/12,16288,16252,16262,16243,down,09:00:00,16255.0,down,09:04:00,16239,down,09:01:00,16255.0,0,09:01:00,100.0,10:55:00,23.0,09:10:00
2021/03/15,16219,16166,16235,16179,up,09:10:00,16198.0,up,09:10:00,16232,up,09:10:00,16232,-25,09:12:00,17,09:21:00,90,09:42:00
2021/03/16,16257,16231,16272,16229,up,09:10:00,16244.0,up,09:09:00,16270,up,09:09:00,16270,-25,09:21:00,78,12:10:00,57,10:16:00
2021/03/17,16315,16295,16317,16289,down,09:05:00,16307.0,down,09:25:00,16282,down,09:11:00,16307.0,34,09:32:00,146.0,13:01:00,29.0,10:16:00
2021/03/18,16274,16249,16295,16261,up,09:10:00,16273.0,up,09:09:00,16288,up,09:09:00,16288,-25,09:18:00,113,09:56:00,68,12:30:00
2021/03/19,16101,16056,16106,16068,up,09:05:00,16081.0,down,09:14:00,16043,up,09:07:00,16081.0,0,09:07:00,19.0,09:07:00,128.0,11:15:00
2021/03/22,16022,15975,16003,15944,down,09:15:00,15983.0,down,09:14:00,15962,down,09:14:00,15962,0,09:28:00,51,09:20:00,212,13:16:00
2021/03/23,16235,16190,16247,16216,up,09:15:00,16227.0,up,09:09:00,16248,up,09:09:00,16248,-25,09:14:00,29,09:29:00,145,13:01:00
2021/03/24,16035,16013,16020,15990,down,09:00:00,16010.0,down,08:59:00,16000,down,08:59:00,16000,0,09:02:00,61,12:52:00,62,09:40:00
2021/03/25,15907,15885,15930,15892,up,09:00:00,15905.0,up,09:00:00,15920,up,09:00:00,15920,-20,09:00:00,170,10:59:00,50,09:37:00
2021/03/26,16123,16090,16140,16093,up,09:20:00,16109.0,up,09:19:00,16136,up,09:19:00,16136,-25,09:19:00,157,13:11:00,34,09:27:00
2021/03/29,16385,16350,16400,16373,up,09:05:00,16382.0,up,09:04:00,16398,up,09:04:00,16398,-25,09:06:00,87,11:58:00,47,09:17:00
