date,base_max,base_min,break_max,break_min,break_last,direction,break_time,pre_enter_time,pre_enter_direction,pre_enter_point
2019/01/02,9762,9741,9743,9734,9736,down,09:00:00,09:01:00,down,9732
2019/01/03,9494,9470,9486,9464,9465,down,09:00:00,09:01:00,down,9461
2019/01/04,9394,9355,9381,9343,9348,down,09:05:00,09:04:00,down,9346
2019/01/07,9559,9526,9536,9518,9519,down,09:00:00,09:01:00,down,9517
2019/01/08,9611,9592,9596,9574,9575,down,09:05:00,09:03:00,down,9583
2019/01/09,9635,9606,9657,9629,9653,up,09:20:00,09:18:00,up,9644
2019/01/10,9710,9688,9698,9679,9679,down,09:15:00,09:15:00,down,9679
2019/01/11,9772,9748,9754,9734,9737,down,09:25:00,09:23:00,down,9739
2019/01/14,9744,9726,9756,9743,9750,up,09:15:00,09:12:00,up,9753
2019/01/15,9749,9733,9744,9723,9724,down,09:00:00,09:00:00,down,9724
2019/01/16,9790,9775,9802,9783,9797,up,09:15:00,09:12:00,up,9799
2019/01/17,9796,9772,9814,9788,9814,up,09:05:00,09:02:00,up,9805
2019/01/18,9830,9812,9813,9783,9785,down,09:05:00,09:02:00,down,9803
2019/01/21,9903,9883,9896,9875,9878,down,09:10:00,09:11:00,down,9874
2019/01/22,9847,9822,9856,9836,9853,up,09:15:00,09:15:00,up,9856
2019/01/23,9832,9816,9837,9827,9833,up,09:30:00,09:32:00,up,9841
2019/01/24,9842,9831,9867,9836,9867,up,09:05:00,09:05:00,up,9851
2019/01/25,9944,9922,9933,9912,9917,down,09:15:00,09:14:00,down,9913
2019/01/28,10005,9975,10015,10000,10013,up,09:55:00,09:55:00,up,10014
2019/01/29,9933,9917,9927,9907,9908,down,09:00:00,09:00:00,down,9908
2019/01/30,9929,9912,9916,9907,9907,down,09:25:00,09:27:00,down,9903
