date,base_max,base_min,break_max,break_min,break_direction,break_time,break_key_point,pre_enter_direction,pre_enter_time,pre_enter,enter_direction,enter_time,enter_point,bonus,bonus_time,max_bonus,max_bonus_time,max_lose,max_lose_time
2019/10/01,10912,10856,10922,10895,up,09:20:00,10904.0,up,09:24:00,10926,up,09:21:00,10922,24,10:45:00,28,10:05:00,7,09:21:00
2019/10/02,10925,10912,10934,10919,up,09:05:00,10924.0,up,09:10:00,10938,up,09:17:00,10924.0,22.0,10:45:00,24.0,10:43:00,1.0,09:17:00
2019/10/03,10828,10773,10837,10822,up,09:30:00,10827.0,up,09:34:00,10844,up,09:32:00,10827.0,0,09:41:00,21.0,09:33:00,4.0,09:41:00
2019/10/04,10887,10870,10895,10881,up,09:05:00,10886.0,up,09:09:00,10905,up,09:23:00,10886.0,-22.0,10:45:00,7.0,10:04:00,26.0,10:42:00
2019/10/07,10918,10904,10915,10886,down,09:05:00,10905.0,down,09:05:00,10891,down,09:05:00,10891,-14,09:08:00,5,09:05:00,46,10:01:00
2019/10/08,10966,10950,10992,10962,up,09:05:00,10972.0,up,09:04:00,10981,up,09:04:00,10981,28,10:45:00,30,10:08:00,2,09:04:00
2019/10/09,10967,10945,10952,10935,down,09:45:00,10946.0,down,11:39:00,10932,down,09:46:00,10946.0,-5.0,10:45:00,13.0,09:46:00,18.0,10:36:00
2019/10/14,11080,11062,11071,11053,down,09:05:00,11065.0,down,09:10:00,11049,down,09:06:00,11065.0,32,09:16:00,35.0,09:17:00,27.0,10:13:00
2019/10/15,11095,11073,11109,11088,up,09:05:00,11095.0,up,09:04:00,11108,up,09:04:00,11108,-14,09:16:00,11,10:10:00,22,09:27:00
2019/10/16,11169,11154,11169,11150,down,09:05:00,11162.0,down,09:20:00,11141,down,10:42:00,11162.0,0.0,10:45:00,4.0,10:42:00,9.0,10:42:00
2019/10/17,11152,11133,11140,11117,down,09:05:00,11132.0,down,09:04:00,11120,down,09:04:00,11120,-14,09:12:00,3,09:05:00,30,10:31:00
2019/10/18,11196,11168,11174,11152,down,09:05:00,11166.0,down,09:04:00,11155,down,09:04:00,11155,-14,09:09:00,16,10:45:00,68,09:14:00
2019/10/21,11163,11149,11162,11141,down,09:15:00,11155.0,down,09:39:00,11136,down,09:24:00,11155.0,0,10:18:00,22.0,09:32:00,2.0,09:24:00
2019/10/22,11222,11211,11238,11214,up,09:10:00,11222.0,up,09:09:00,11235,up,09:09:00,11235,0,09:32:00,17,09:20:00,6,09:09:00
2019/10/23,11239,11225,11242,11236,up,09:10:00,11238.0,up,09:35:00,11252,up,09:11:00,11238.0,-9.0,10:45:00,16.0,09:36:00,16.0,10:07:00
2019/10/24,11239,11225,11249,11234,up,09:10:00,11239.0,up,10:00:00,11252,up,09:11:00,11239.0,3.0,10:45:00,20.0,10:31:00,12.0,09:36:00
2019/10/25,11328,11314,11325,11303,down,09:05:00,11317.0,down,09:14:00,11301,,,,,,,,,
2019/10/28,11342,11326,11335,11318,down,09:05:00,11329.0,down,09:19:00,11309,,,,,,,,,
2019/10/29,11358,11342,11366,11350,up,09:45:00,11356.0,down,10:54:00,11329,up,09:46:00,11356.0,-11.0,10:45:00,8.0,09:49:00,14.0,10:12:00
2019/10/30,11317,11306,11317,11296,down,09:05:00,11310.0,up,11:44:00,11333,down,09:13:00,11310.0,-4.0,10:45:00,13.0,09:49:00,13.0,09:32:00
2019/10/31,11374,11364,11378,11370,up,09:15:00,11373.0,up,09:45:00,11387,up,09:16:00,11373.0,0,10:09:00,23.0,09:49:00,12.0,09:20:00
