time,max_times,min_times,sum,probability
08:45:00,0,0,0,0.0
08:50:00,68,92,160,0.14010507880910683
08:55:00,9,12,21,0.15849387040280211
09:00:00,11,9,20,0.17600700525394045
09:05:00,32,31,63,0.23117338003502627
09:10:00,23,27,50,0.27495621716287216
09:15:00,17,12,29,0.30035026269702275
09:20:00,23,23,46,0.34063047285464099
09:25:00,14,20,34,0.37040280210157617
09:30:00,10,8,18,0.38616462346760072
09:35:00,20,16,36,0.41768826619964972
09:40:00,12,14,26,0.44045534150612958
09:45:00,9,12,21,0.45884413309982486
09:50:00,19,12,31,0.48598949211908932
09:55:00,7,11,18,0.50175131348511381
10:00:00,7,8,15,0.51488616462346759
10:05:00,11,14,25,0.53677758318739055
10:10:00,15,8,23,0.5569176882661997
10:15:00,6,3,9,0.56479859894921192
10:20:00,8,10,18,0.58056042031523647
10:25:00,9,4,13,0.59194395796847632
10:30:00,3,5,8,0.59894921190893169
10:35:00,10,6,16,0.61295971978984243
10:40:00,7,6,13,0.62434325744308228
10:45:00,5,14,19,0.64098073555166379
10:50:00,7,10,17,0.65586690017513138
10:55:00,9,6,15,0.66900175131348516
11:00:00,6,5,11,0.6786339754816112
11:05:00,5,10,15,0.69176882661996497
11:10:00,3,8,11,0.70140105078809112
11:15:00,4,5,9,0.70928196147110334
11:20:00,9,7,16,0.72329246935201397
11:25:00,4,7,11,0.73292469352014011
11:30:00,5,2,7,0.73905429071803852
11:35:00,1,7,8,0.74605954465849389
11:40:00,2,3,5,0.75043782837127848
11:45:00,3,2,5,0.75481611208406307
11:50:00,3,4,7,0.76094570928196148
11:55:00,4,3,7,0.76707530647985989
12:00:00,5,3,8,0.77408056042031526
12:05:00,0,4,4,0.77758318739054288
12:10:00,6,1,7,0.78371278458844129
12:15:00,2,2,4,0.78721541155866903
12:20:00,6,5,11,0.79684763572679507
12:25:00,5,4,9,0.8047285464098074
12:30:00,6,3,9,0.81260945709281962
12:35:00,5,0,5,0.81698774080560421
12:40:00,1,9,10,0.8257443082311734
12:45:00,1,6,7,0.8318739054290718
12:50:00,5,4,9,0.83975481611208402
12:55:00,3,3,6,0.84500875656742558
13:00:00,3,3,6,0.85026269702276702
13:05:00,8,10,18,0.86602451838879158
13:10:00,12,9,21,0.88441330998248691
13:15:00,5,2,7,0.89054290718038531
13:20:00,10,4,14,0.90280210157618213
13:25:00,9,2,11,0.91243432574430827
13:30:00,12,7,19,0.92907180385288968
13:35:00,11,13,24,0.95008756567425567
13:40:00,5,4,9,0.95796847635726801
13:45:00,31,17,48,1.0
