date,base_max,base_min,break_max,break_min,break_last,direction,key_point,enter_time,break_time,pre_enter_time,pre_enter_direction,pre_enter_point,bonus,bonus_time,max_bonus,max_bonus_time,max_lose,max_lose_time
2019/01/02,9762,9741,9743,9734,9736,down,9737,09:01:00,09:00:00,08:59:00,down,9740,2,09:01:00,32,09:01:00,1,09:01:00
2019/01/03,9494,9470,9486,9464,9465,down,9471,09:08:00,09:00:00,09:00:00,down,9469,26,09:23:00,38,09:25:00,76,10:06:00
2019/01/04,9394,9355,9381,9343,9348,down,9355,09:06:00,09:05:00,09:04:00,down,9354,26,09:27:00,50,09:31:00,55,11:29:00
2019/01/07,9559,9526,9536,9518,9519,down,9524,09:03:00,09:00:00,09:00:00,down,9525,26,09:09:00,34,09:40:00,56,10:46:00
2019/01/08,9611,9592,9596,9574,9575,down,9581,09:06:00,09:05:00,09:04:00,down,9591,26,09:14:00,49,09:19:00,5,09:06:00
2019/01/09,9635,9606,9657,9629,9653,up,9648,09:21:00,09:20:00,09:04:00,down,9605,26,09:34:00,99,10:43:00,2,09:26:00
2019/01/10,9710,9688,9698,9679,9679,down,9685,09:17:00,09:15:00,09:14:00,down,9687,-26,10:00:00,11,09:41:00,28,10:08:00
2019/01/11,9772,9748,9754,9734,9737,down,9740,09:28:00,09:25:00,09:04:00,up,9773,-26,09:53:00,16,09:32:00,63,10:06:00
2019/01/14,9744,9726,9756,9743,9750,up,9752,09:16:00,09:15:00,09:14:00,up,9745,-26,09:31:00,-1,09:16:00,92,11:22:00
2019/01/15,9749,9733,9744,9723,9724,down,9730,09:10:00,09:00:00,08:59:00,down,9732,-26,09:46:00,13,09:34:00,87,10:19:00
2019/01/16,9790,9775,9802,9783,9797,up,9796,09:16:00,09:15:00,09:14:00,up,9791,-26,09:31:00,8,10:33:00,41,09:36:00
2019/01/17,9796,9772,9814,9788,9814,up,9806,09:12:00,09:05:00,09:04:00,up,9797,-26,09:29:00,16,09:12:00,85,09:46:00
2019/01/18,9830,9812,9813,9783,9785,down,9793,09:14:00,09:05:00,09:04:00,down,9811,-26,09:44:00,7,09:20:00,53,11:20:00
2019/01/21,9903,9883,9896,9875,9878,down,9882,09:32:00,09:10:00,09:09:00,down,9882,-26,09:42:00,9,09:32:00,37,10:09:00
2019/01/22,9847,9822,9856,9836,9853,up,9850,09:16:00,09:15:00,09:04:00,up,9848,-3,11:30:00,18,09:29:00,16,10:44:00
2019/01/23,9832,9816,9837,9827,9833,up,9834,09:31:00,09:30:00,09:04:00,down,9815,26,09:46:00,26,09:46:00,9,11:00:00
2019/01/24,9842,9831,9867,9836,9867,up,9857,09:28:00,09:05:00,09:04:00,up,9843,-26,09:57:00,19,09:34:00,37,10:35:00
2019/01/25,9944,9922,9933,9912,9917,down,9919,09:16:00,09:15:00,09:14:00,down,9921,-26,09:34:00,8,09:26:00,68,10:32:00
2019/01/28,10005,9975,10015,10000,10013,up,10010,09:56:00,09:55:00,09:39:00,up,10006,-16,11:30:00,8,10:06:00,25,11:11:00
2019/01/29,9933,9917,9927,9907,9908,down,9913,09:02:00,09:00:00,08:59:00,down,9916,26,10:17:00,33,10:41:00,23,09:31:00
2019/01/30,9929,9912,9916,9907,9907,down,9910,09:47:00,09:25:00,09:14:00,down,9911,-26,11:07:00,6,10:02:00,46,11:23:00
