date,base_max,base_min,break_max,break_min,break_direction,break_time,break_key_point,pre_enter_direction,pre_enter_time,pre_enter,enter_direction,enter_time,enter_point,bonus,bonus_time,max_bonus,max_bonus_time,max_lose,max_lose_time
2020/09/01,12634,12555,12593,12531,down,09:30:00,12572.0,down,09:29:00,12542,down,09:29:00,12542,-25,09:32:00,2,09:31:00,156,13:29:00
2020/09/02,12770,12743,12753,12728,down,09:20:00,12744.0,down,09:20:00,12730,down,09:20:00,12730,57,10:03:00,135,11:40:00,21,09:26:00
2020/09/03,12808,12778,12787,12758,down,09:10:00,12777.0,down,09:04:00,12765,down,09:04:00,12765,0,09:41:00,60,13:05:00,93,10:09:00
2020/09/04,12595,12535,12608,12574,up,09:10:00,12586.0,up,09:10:00,12608,up,09:10:00,12608,0,09:16:00,43,09:46:00,98,11:17:00
2020/09/07,12660,12605,12699,12641,up,09:05:00,12661.0,up,09:04:00,12682,up,09:04:00,12682,-25,09:12:00,51,09:46:00,122,13:12:00
2020/09/08,12661,12640,12660,12634,down,09:05:00,12651.0,down,09:14:00,12627,down,09:10:00,12651.0,0,09:18:00,41.0,09:31:00,44.0,10:51:00
2020/09/09,12558,12504,12518,12452,down,09:10:00,12496.0,down,09:09:00,12491,down,09:09:00,12491,57,09:20:00,57,09:20:00,115,13:16:00
2020/09/10,12680,12656,12669,12645,down,09:20:00,12661.0,down,09:04:00,12643,down,09:04:00,12643,-25,09:10:00,21,09:44:00,63,09:58:00
2020/09/11,12679,12655,12689,12667,up,09:15:00,12675.0,down,09:24:00,12641,up,09:16:00,12675.0,-25,09:20:00,13.0,10:32:00,69.0,11:33:00
2020/09/14,12750,12690,12759,12734,up,10:10:00,12743.0,up,09:59:00,12763,up,09:59:00,12763,-25,10:01:00,34,12:19:00,31,10:03:00
2020/09/15,12777,12756,12810,12774,up,09:20:00,12786.0,up,09:19:00,12803,up,09:19:00,12803,13,10:45:00,52,13:06:00,24,09:38:00
2020/09/16,12951,12931,12968,12949,up,09:00:00,12956.0,up,08:59:00,12964,up,08:59:00,12964,-20,09:11:00,54,12:30:00,64,13:05:00
2020/09/17,12865,12835,12875,12854,up,09:10:00,12861.0,up,09:14:00,12884,up,09:52:00,12861.0,-25,09:58:00,6.0,09:52:00,89.0,11:22:00
2020/09/18,12848,12812,12836,12802,down,09:10:00,12824.0,down,09:14:00,12799,down,09:54:00,12824.0,-25,09:59:00,18.0,12:30:00,42.0,10:22:00
2020/09/21,12824,12783,12855,12824,up,09:20:00,12835.0,up,09:19:00,12846,up,09:19:00,12846,0,09:37:00,31,09:32:00,191,13:44:00
2020/09/22,12637,12606,12654,12632,up,09:00:00,12640.0,up,09:00:00,12650,up,09:00:00,12650,-20,09:06:00,5,09:01:00,169,13:25:00
2020/09/23,12563,12536,12543,12520,down,09:10:00,12535.0,down,09:09:00,12523,down,09:09:00,12523,57,09:29:00,82,11:04:00,11,09:09:00
2020/09/24,12414,12356,12371,12337,down,09:00:00,12359.0,down,08:59:00,12343,down,08:59:00,12343,0,09:02:00,177,11:31:00,45,09:26:00
2020/09/25,12278,12254,12297,12267,up,09:05:00,12277.0,up,09:04:00,12294,up,09:04:00,12294,-25,09:07:00,15,09:30:00,180,12:38:00
2020/09/28,12303,12274,12285,12248,down,09:05:00,12272.0,down,09:04:00,12261,down,09:04:00,12261,-25,09:10:00,15,09:06:00,160,13:35:00
2020/09/29,12489,12466,12501,12483,up,09:05:00,12489.0,up,09:09:00,12517,up,09:12:00,12489.0,-25,09:18:00,12.0,09:12:00,94.0,11:35:00
2020/09/30,12484,12446,12492,12461,up,09:15:00,12472.0,up,09:20:00,12497,up,09:36:00,12472.0,34,09:40:00,76.0,10:37:00,17.0,12:20:00
