Date,Time,Open,High,Low,Close,Volume
2014/08/15,08:46:00,14327,14330,14321,14322,1231
2014/08/15,08:47:00,14322,14324,14321,14322,455
2014/08/15,08:48:00,14323,14323,14319,14319,481
2014/08/15,08:49:00,14319,14320,14318,14319,456
2014/08/15,08:50:00,14319,14321,14319,14319,295
2014/08/15,08:51:00,14320,14320,14308,14312,1279
2014/08/15,08:52:00,14312,14315,14309,14314,519
2014/08/15,08:53:00,14314,14316,14312,14314,334
2014/08/15,08:54:00,14314,14315,14313,14314,138
2014/08/15,08:55:00,14314,14315,14310,14310,245
2014/08/15,08:56:00,14310,14314,14310,14313,279
2014/08/15,08:57:00,14313,14314,14310,14311,218
2014/08/15,08:58:00,14311,14311,14308,14311,398
2014/08/15,08:59:00,14312,14312,14310,14310,153
2014/08/15,09:00:00,14311,14311,14309,14311,233
2014/08/15,09:01:00,14311,14320,14310,14316,1306
2014/08/15,09:02:00,14315,14316,14310,14313,685
2014/08/15,09:03:00,14313,14319,14313,14319,535
2014/08/15,09:04:00,14319,14323,14318,14320,535
2014/08/15,09:05:00,14319,14321,14317,14321,253
2014/08/15,09:06:00,14320,14324,14320,14322,319
2014/08/15,09:07:00,14322,14325,14321,14322,370
2014/08/15,09:08:00,14323,14323,14319,14322,286
2014/08/15,09:09:00,14322,14323,14319,14320,169
2014/08/15,09:10:00,14319,14320,14313,14315,458
2014/08/15,09:11:00,14314,14316,14302,14306,1615
2014/08/15,09:12:00,14305,14306,14298,14301,1095
2014/08/15,09:13:00,14302,14302,14289,14297,2050
2014/08/15,09:14:00,14297,14297,14292,14294,681
2014/08/15,09:15:00,14294,14299,14292,14298,780
2014/08/15,09:16:00,14298,14299,14294,14298,578
2014/08/15,09:17:00,14298,14298,14294,14295,315
2014/08/15,09:18:00,14295,14298,14294,14297,425
2014/08/15,09:19:00,14296,14298,14292,14297,599
2014/08/15,09:20:00,14297,14300,14296,14300,343
2014/08/15,09:21:00,14299,14301,14295,14297,394
2014/08/15,09:22:00,14297,14297,14292,14295,381
2014/08/15,09:23:00,14296,14298,14294,14296,240
2014/08/15,09:24:00,14296,14299,14296,14299,292
2014/08/15,09:25:00,14299,14301,14297,14300,312
2014/08/15,09:26:00,14300,14306,14299,14305,726
2014/08/15,09:27:00,14306,14307,14303,14304,434
2014/08/15,09:28:00,14304,14306,14302,14302,317
2014/08/15,09:29:00,14302,14305,14301,14304,283
2014/08/15,09:30:00,14303,14305,14303,14305,147
2014/08/15,09:31:00,14304,14309,14304,14307,354
2014/08/15,09:32:00,14308,14308,14301,14301,351
2014/08/15,09:33:00,14301,14302,14300,14301,310
2014/08/15,09:34:00,14301,14302,14299,14299,187
2014/08/15,09:35:00,14299,14303,14298,14302,200
2014/08/15,09:36:00,14303,14303,14300,14301,74
2014/08/15,09:37:00,14301,14302,14300,14301,60
2014/08/15,09:38:00,14300,14301,14295,14297,523
2014/08/15,09:39:00,14297,14301,14297,14300,160
2014/08/15,09:40:00,14300,14304,14300,14303,224
2014/08/15,09:41:00,14302,14306,14302,14305,255
2014/08/15,09:42:00,14305,14305,14303,14303,93
2014/08/15,09:43:00,14303,14304,14303,14304,53
2014/08/15,09:44:00,14303,14304,14300,14300,190
2014/08/15,09:45:00,14300,14301,14297,14300,332
2014/08/15,09:46:00,14300,14301,14298,14299,188
2014/08/15,09:47:00,14299,14299,14296,14297,236
