      date    baseMaxValue    baseMinValue    baseDiff    breakMaxValue    breakMinValue    breakTime    breakDiff    keyPoint    direction    maxBonus    maxBonusTime    result    resultTime

2019/05/02           10994           10933          61            11005            10985     09:10:00           20       10999           up          34        09:30:00        25      09:30:00
2019/05/03           11007           10975          32            11011            10999     09:40:00           12       11007           up          41        11:30:00       -26      09:45:00
2019/05/06           10980           10878         102            10895            10867     09:10:00           28       10876         down          55        11:00:00       -26      09:30:00
2019/05/07           10932           10900          32            10942            10929     09:40:00           13       10938           up          58        11:20:00        25      09:50:00
2019/05/08           10905           10841          64            10906            10885     09:30:00           21       10899           up          44        10:55:00        25      09:45:00
2019/05/09           10856           10809          47            10812            10781     09:55:00           31       10791         down          56        10:25:00        25      10:15:00
2019/05/10           10797           10731          66            10813            10789     09:10:00           24       10805           up          45        10:00:00       -26      09:25:00
2019/05/13           10708           10672          36            10681            10653     09:25:00           28       10662         down          63        10:40:00        25      09:35:00
2019/05/14           10490           10399          91            10506            10479     09:30:00           27       10497           up          74        10:35:00        25      09:55:00
2019/05/15           10554           10513          41            10559            10531     09:20:00           28       10550           up          52        10:55:00        25      09:40:00
2019/05/16           10553           10524          29            10528            10500     09:10:00           28       10509         down          21        09:15:00       -26      09:30:00
2019/05/17           10566           10541          25            10551            10530     09:20:00           21       10537         down         117        11:15:00        25      09:30:00
2019/05/20           10472           10432          40            10479            10444     09:15:00           35       10468           up          17        09:45:00       -26      10:00:00
2019/05/21           10420           10378          42            10430            10411     09:10:00           19       10424           up          73        11:10:00       -26      09:20:00
2019/05/22           10487           10453          34            10490            10459     09:20:00           31       10480           up          35        10:15:00        25      09:30:00
2019/05/23           10424           10342          82            10350            10332     09:10:00           18       10338         down          53        10:25:00        25      09:35:00
2019/05/24           10356           10315          41            10361            10341     09:20:00           20       10355           up          31        09:40:00        25      09:40:00
2019/05/27           10390           10342          48            10352            10327     09:20:00           25       10335         down          51        10:45:00        25      09:35:00
2019/05/28           10374           10331          43            10341            10320     09:15:00           21       10327         down          18        10:25:00         0      11:30:00
2019/05/29           10254           10218          36            10257            10246     09:10:00           11       10254           up          41        10:30:00        25      09:35:00
2019/05/30           10312           10279          33            10329            10300     09:10:00           29       10320           up          50        09:30:00        25      09:20:00
2019/05/31           10358           10330          28            10376            10350     09:10:00           26       10368           up         106        11:10:00        25      09:25:00


total:	219

