      date    baseMaxValue    baseMinValue    baseDiff    breakMaxValue    breakMinValue    breakTime    breakDiff    keyPoint    direction    maxBonus    maxBonusTime    result    resultTime

2019/04/01           10710           10674          36                0                0     00:00:00            0           0            -           0        00:00:00         0      00:00:00
2019/04/02           10698           10673          25            10691            10670     09:40:00           21       10677         down           9        11:05:00       -13      11:30:00
2019/04/03           10728           10681          47                0                0     00:00:00            0           0            -           0        00:00:00         0      00:00:00
2019/04/08           10781           10747          34            10785            10770     09:45:00           15       10780           up          15        11:15:00         4      11:30:00
2019/04/09           10802           10783          19            10805            10794     09:30:00           11       10802           up          36        11:05:00        25      11:05:00
2019/04/10           10832           10816          16            10837            10824     09:20:00           13       10833           up           9        09:35:00        -3      11:30:00
2019/04/11           10874           10841          33            10879            10865     09:30:00           14       10875           up          10        09:35:00       -26      09:50:00
2019/04/12           10831           10811          20            10820            10805     09:25:00           15       10810         down          28        11:20:00        25      11:20:00
2019/04/15           10882           10863          19            10864            10843     09:15:00           21       10850         down           6        09:20:00       -26      09:45:00
2019/04/16           10900           10863          37                0                0     00:00:00            0           0            -           0        00:00:00         0      00:00:00
2019/04/17           10983           10948          35                0                0     00:00:00            0           0            -           0        00:00:00         0      00:00:00
2019/04/18           11035           11008          27            11012            11002     09:50:00           10       11005         down          32        10:15:00        25      10:10:00
2019/04/19           11031           11017          14                0                0     00:00:00            0           0            -           0        00:00:00         0      00:00:00
2019/04/22           11030           11006          24            11016            10998     09:30:00           18       11004         down          35        11:30:00        25      11:00:00
2019/04/23           10998           10976          22            10985            10969     09:10:00           16       10974         down          40        09:25:00        25      09:15:00
2019/04/24           11057           11035          22            11042            11028     09:10:00           14       11032         down          38        11:30:00        25      10:20:00
2019/04/25           10997           10982          15            11004            10994     09:25:00           10       11001           up          40        10:25:00        25      09:55:00
2019/04/26           10972           10932          40            10934            10919     09:10:00           15       10924         down          24        11:25:00       -26      09:30:00
2019/04/29           10960           10940          20            10975            10956     09:20:00           19       10969           up           9        09:25:00       -26      09:40:00
2019/04/30           10918           10883          35            10920            10911     09:15:00            9       10917           up          25        10:50:00       -26      09:50:00


total:	33

