      date    baseMaxValue    baseMinValue    baseDiff    breakMaxValue    breakMinValue    breakTime    breakDiff    keyPoint    direction    maxBonus    maxBonusTime    result    resultTime

2019/03/04           10400           10344          56            10357            10333     09:10:00           24       10341         down          65        10:45:00        25      09:15:00
2019/03/05           10279           10248          31            10289            10277     09:15:00           12       10285           up          21        11:05:00       -26      09:45:00
2019/03/06           10320           10282          38                0                0     00:00:00            0           0            -           0        00:00:00         0      00:00:00
2019/03/07           10324           10304          20            10327            10319     09:10:00            8       10325           up          10        09:15:00       -26      09:45:00
2019/03/08           10236           10188          48            10194            10178     09:30:00           16       10183         down          21        09:50:00       -26      10:45:00
2019/03/11           10188           10168          20            10201            10184     09:20:00           17       10196           up          29        09:35:00        25      09:35:00
2019/03/12           10334           10300          34            10348            10330     09:30:00           18       10342           up          43        11:10:00        25      10:30:00
2019/03/13           10345           10322          23            10331            10311     09:40:00           20       10317         down          12        10:35:00       -26      11:10:00
2019/03/14           10392           10366          26            10378            10363     09:25:00           15       10368         down          34        11:30:00        25      10:45:00
2019/03/15           10365           10347          18            10370            10360     09:30:00           10       10367           up          63        11:05:00        25      09:40:00
2019/03/18           10448           10424          24            10431            10422     09:30:00            9       10425         down           4        09:35:00       -26      09:50:00
2019/03/19           10492           10474          18            10496            10485     09:40:00           11       10493           up          12        11:30:00       -26      09:55:00
2019/03/20           10525           10492          33                0                0     00:00:00            0           0            -           0        00:00:00         0      00:00:00
2019/03/21           10554           10532          22            10564            10549     09:20:00           15       10559           up          28        10:50:00        25      10:50:00
2019/03/22           10654           10633          21            10656            10643     09:15:00           13       10652           up           7        09:40:00       -26      10:10:00
2019/03/25           10479           10445          34            10449            10435     09:10:00           14       10439         down           1        09:15:00       -26      09:45:00
2019/03/26           10514           10480          34            10525            10510     09:10:00           15       10520           up          18        09:40:00       -12      11:30:00
2019/03/27           10513           10486          27            10499            10476     09:15:00           23       10483         down          10        09:20:00       -26      09:45:00
2019/03/28           10499           10444          55                0                0     00:00:00            0           0            -           0        00:00:00         0      00:00:00
2019/03/29           10568           10516          52            10525            10509     09:10:00           16       10514         down          38        09:25:00        25      09:15:00


total:	-71

