      date    baseMaxValue    baseMinValue    baseDiff    breakMaxValue    breakMinValue    breakTime    breakDiff    keyPoint    direction    maxBonus    maxBonusTime    result    resultTime

2019/06/03           10437           10373          64            10394            10366     09:15:00           28       10375         down           8        09:20:00       -26      09:35:00
2019/06/04           10480           10454          26            10463            10438     09:40:00           25       10446         down          45        10:50:00        25      10:05:00
2019/06/05           10510           10485          25            10507            10483     09:10:00           24       10491         down          39        11:30:00        25      09:40:00
2019/06/06           10437           10361          76                0                0     00:00:00            0           0            -           0        00:00:00         0      00:00:00
2019/06/10           10498           10465          33            10482            10453     09:15:00           29       10462         down          20        09:20:00       -26      09:50:00
2019/06/11           10562           10540          22            10567            10552     09:20:00           15       10562           up          55        11:05:00        25      09:30:00
2019/06/12           10589           10565          24            10598            10581     09:15:00           17       10593           up          12        09:25:00       -26      09:40:00
2019/06/13           10567           10535          32            10574            10560     09:15:00           14       10570           up          19        09:30:00       -26      09:55:00
2019/06/14           10547           10516          31                0                0     00:00:00            0           0            -           0        00:00:00         0      00:00:00
2019/06/17           10493           10465          28            10515            10491     09:25:00           24       10507           up          58        09:50:00        25      09:35:00


total:	-4

