2019/04/01	10695	10674	21	10710	10686	09:05:00	24	10702	up	13	09:10:00	-26	09:15:00	
2019/04/02	10689	10673	16	10698	10677	09:05:00	21	10691	up	13	09:20:00	-1	11:30:00	
2019/04/03	10713	10681	32	0	0	00:00:00	0	0	-	0	00:00:00	0	00:00:00	
2019/04/08	10781	10747	34	10785	10770	09:45:00	15	10780	up	15	11:15:00	4	11:30:00	
2019/04/09	10802	10792	10	10796	10783	09:05:00	13	10787	down	5	09:20:00	-26	10:55:00	
2019/04/10	10830	10818	12	10837	10824	09:20:00	13	10833	up	9	09:35:00	-3	11:30:00	
2019/04/11	10874	10842	32	10879	10865	09:30:00	14	10875	up	10	09:35:00	-26	09:50:00	
2019/04/12	10831	10811	20	10820	10805	09:25:00	15	10810	down	28	11:20:00	25	11:20:00	
2019/04/15	10882	10863	19	10864	10843	09:15:00	21	10850	down	6	09:20:00	-26	09:45:00	
2019/04/16	10883	10863	20	10900	10882	09:05:00	18	10894	up	21	11:25:00	-26	10:10:00	
2019/04/17	10966	10948	18	10983	10961	09:05:00	22	10976	up	17	11:30:00	13	11:30:00	
2019/04/18	11024	11008	16	11035	11011	09:05:00	24	11027	up	12	09:10:00	-26	09:55:00	
2019/04/19	11031	11017	14	0	0	00:00:00	0	0	-	0	00:00:00	0	00:00:00	
2019/04/22	11030	11006	24	11016	10998	09:30:00	18	11004	down	35	11:30:00	25	11:00:00	
2019/04/23	10998	10978	20	10993	10976	09:05:00	17	10981	down	47	09:25:00	25	09:15:00	
2019/04/24	11057	11039	18	11042	11028	09:10:00	14	11032	down	38	11:30:00	25	10:20:00	
2019/04/25	10995	10982	13	11004	10994	09:25:00	10	11001	up	40	10:25:00	25	09:55:00	
2019/04/26	10972	10952	20	10965	10932	09:05:00	33	10943	down	43	11:25:00	25	09:45:00	
2019/04/29	10960	10945	15	10975	10956	09:20:00	19	10969	up	9	09:25:00	-26	09:40:00	
2019/04/30	10918	10883	35	10920	10911	09:15:00	9	10917	up	25	10:50:00	-26	09:50:00	
