      date    baseMaxValue    baseMinValue    baseDiff    breakMaxValue    breakMinValue    breakTime    breakDiff    keyPoint    direction    maxBonus    maxBonusTime    result    resultTime

2019/01/02            9762            9734          28             9738             9697     09:05:00           41        9710         down         190        11:10:00        25      09:20:00
2019/01/03            9494            9464          30             9468             9451     09:05:00           17        9456         down          23        09:25:00       -26      09:10:00
2019/01/04            9394            9355          39             9381             9343     09:05:00           38        9355         down          50        09:35:00        25      09:30:00
2019/01/07            9559            9518          41             9525             9505     09:05:00           20        9511         down          21        09:40:00       -26      10:05:00
2019/01/08            9611            9592          19             9596             9574     09:05:00           22        9581         down          49        09:20:00        25      09:15:00
2019/01/09            9635            9606          29             9657             9629     09:20:00           28        9647           up          99        10:45:00        25      09:35:00
2019/01/10            9710            9688          22             9698             9679     09:15:00           19        9685         down          12        09:20:00       -26      10:10:00
2019/01/11            9772            9748          24             9754             9734     09:25:00           20        9740         down          16        09:35:00       -26      09:55:00
2019/01/14            9744            9726          18             9756             9743     09:15:00           13        9751           up           0        00:00:00       -26      09:40:00
2019/01/15            9749            9723          26             9729             9715     09:05:00           14        9719         down           4        09:10:00       -26      09:45:00
2019/01/16            9790            9775          15             9802             9783     09:15:00           19        9795           up           8        10:35:00       -26      09:35:00
2019/01/17            9796            9772          24             9814             9788     09:05:00           26        9805           up          28        09:10:00        25      09:10:00
2019/01/18            9830            9812          18             9813             9783     09:05:00           30        9793         down          23        09:10:00       -26      09:45:00
2019/01/21            9903            9883          20             9896             9875     09:10:00           21        9882         down          26        09:25:00        25      09:25:00
2019/01/22            9847            9822          25             9856             9836     09:15:00           20        9849           up          18        09:30:00        -2      11:30:00
2019/01/23            9832            9816          16             9837             9827     09:30:00           10        9833           up          26        09:50:00        25      09:50:00
2019/01/24            9842            9831          11             9867             9836     09:05:00           31        9856           up          27        09:10:00        25      09:10:00
2019/01/25            9944            9922          22             9933             9912     09:15:00           21        9919         down           8        09:30:00       -26      09:35:00
2019/01/28           10005            9975          30            10015            10000     09:55:00           15       10010           up           8        10:10:00       -16      11:30:00
2019/01/29            9933            9907          26                0                0     00:00:00            0           0            -           0        00:00:00         0      00:00:00
2019/01/30            9929            9912          17             9916             9907     09:25:00            9        9910         down          14        09:30:00       -26      11:10:00


total:	-78

