Date,Time,Open,High,Low,Close,Volume
2016/05/23,08:46:00,13706,13708,13695,13700,1704
2016/05/23,08:47:00,13698,13700,13691,13692,924
2016/05/23,08:48:00,13693,13693,13685,13685,879
2016/05/23,08:49:00,13686,13686,13679,13685,1077
2016/05/23,08:50:00,13685,13689,13684,13688,431
2016/05/23,08:51:00,13689,13690,13688,13689,359
2016/05/23,08:52:00,13688,13691,13688,13690,251
2016/05/23,08:53:00,13690,13694,13690,13694,327
2016/05/23,08:54:00,13693,13694,13687,13689,415
2016/05/23,08:55:00,13688,13690,13686,13690,266
2016/05/23,08:56:00,13689,13690,13687,13689,218
2016/05/23,08:57:00,13689,13689,13683,13684,442
2016/05/23,08:58:00,13683,13685,13680,13683,740
2016/05/23,08:59:00,13683,13684,13676,13682,937
2016/05/23,09:00:00,13682,13682,13676,13678,463
2016/05/23,09:01:00,13677,13682,13671,13679,1476
2016/05/23,09:02:00,13680,13689,13677,13686,768
2016/05/23,09:03:00,13686,13691,13682,13688,806
2016/05/23,09:04:00,13688,13700,13688,13693,1244
2016/05/23,09:05:00,13694,13694,13673,13675,1446
2016/05/23,09:06:00,13674,13676,13666,13669,1688
2016/05/23,09:07:00,13669,13672,13653,13657,1855
2016/05/23,09:08:00,13658,13664,13654,13660,805
2016/05/23,09:09:00,13661,13665,13657,13664,548
2016/05/23,09:10:00,13664,13665,13646,13660,1929
2016/05/23,09:11:00,13660,13672,13657,13664,1625
2016/05/23,09:12:00,13664,13665,13658,13661,515
2016/05/23,09:13:00,13661,13667,13657,13665,595
2016/05/23,09:14:00,13666,13669,13662,13666,340
2016/05/23,09:15:00,13666,13670,13665,13669,527
2016/05/23,09:16:00,13670,13672,13659,13659,846
2016/05/23,09:17:00,13659,13664,13653,13658,1016
2016/05/23,09:18:00,13659,13664,13653,13660,651
2016/05/23,09:19:00,13660,13664,13658,13662,299
2016/05/23,09:20:00,13663,13663,13653,13653,880
2016/05/23,09:21:00,13654,13654,13640,13643,3071
2016/05/23,09:22:00,13642,13649,13636,13646,1436
2016/05/23,09:23:00,13646,13672,13646,13666,2353
2016/05/23,09:24:00,13665,13668,13663,13665,702
2016/05/23,09:25:00,13665,13672,13663,13669,918
2016/05/23,09:26:00,13670,13690,13668,13684,2494
2016/05/23,09:27:00,13684,13700,13683,13690,2723
2016/05/23,09:28:00,13690,13698,13687,13695,1051
2016/05/23,09:29:00,13694,13697,13686,13687,976
2016/05/23,09:30:00,13687,13691,13682,13689,819
2016/05/23,09:31:00,13689,13700,13687,13696,1394
2016/05/23,09:32:00,13695,13697,13685,13695,1230
2016/05/23,09:33:00,13696,13727,13695,13719,4863
2016/05/23,09:34:00,13719,13725,13716,13721,1349
2016/05/23,09:35:00,13721,13724,13718,13723,1005
2016/05/23,09:36:00,13723,13748,13722,13740,4175
2016/05/23,09:37:00,13741,13746,13737,13738,1447
2016/05/23,09:38:00,13738,13740,13736,13738,741
2016/05/23,09:39:00,13738,13748,13738,13747,1123
2016/05/23,09:40:00,13748,13760,13748,13750,2562
2016/05/23,09:41:00,13750,13755,13750,13754,1250
2016/05/23,09:42:00,13753,13773,13752,13771,3633
2016/05/23,09:43:00,13772,13773,13762,13763,1153
2016/05/23,09:44:00,13764,13767,13762,13767,813
2016/05/23,09:45:00,13767,13770,13760,13765,1435
2016/05/23,09:46:00,13766,13782,13766,13778,3585
2016/05/23,09:47:00,13777,13784,13776,13782,1750
2016/05/23,09:48:00,13782,13785,13779,13784,1331
2016/05/23,09:49:00,13783,13794,13783,13793,1950
2016/05/23,09:50:00,13792,13795,13786,13787,1279
2016/05/23,09:51:00,13788,13804,13787,13803,2370
2016/05/23,09:52:00,13803,13812,13797,13800,2356
2016/05/23,09:53:00,13800,13806,13799,13804,653
2016/05/23,09:54:00,13805,13812,13804,13810,1111
2016/05/23,09:55:00,13810,13816,13807,13814,1497
2016/05/23,09:56:00,13813,13830,13812,13828,3079
2016/05/23,09:57:00,13828,13835,13827,13832,1618
2016/05/23,09:58:00,13833,13837,13812,13813,2604
2016/05/23,09:59:00,13814,13822,13813,13819,912
2016/05/23,10:00:00,13820,13823,13818,13822,449
2016/05/23,10:01:00,13822,13831,13820,13821,1500
2016/05/23,10:02:00,13822,13823,13813,13814,988
2016/05/23,10:03:00,13814,13823,13811,13820,936
2016/05/23,10:04:00,13821,13825,13820,13823,456
2016/05/23,10:05:00,13823,13826,13819,13821,582
2016/05/23,10:06:00,13822,13825,13817,13818,425
2016/05/23,10:07:00,13818,13823,13817,13823,361
2016/05/23,10:08:00,13823,13829,13819,13828,643
2016/05/23,10:09:00,13827,13830,13825,13826,549
2016/05/23,10:10:00,13827,13831,13826,13830,434
2016/05/23,10:11:00,13830,13834,13829,13833,694
2016/05/23,10:12:00,13833,13835,13830,13835,803
2016/05/23,10:13:00,13835,13852,13834,13852,2397
2016/05/23,10:14:00,13851,13860,13846,13859,1729
2016/05/23,10:15:00,13859,13873,13858,13870,2309
2016/05/23,10:16:00,13871,13878,13861,13861,2983
2016/05/23,10:17:00,13862,13867,13861,13863,821
2016/05/23,10:18:00,13863,13864,13857,13857,825
2016/05/23,10:19:00,13858,13858,13852,13856,679
2016/05/23,10:20:00,13856,13856,13848,13850,876
2016/05/23,10:21:00,13850,13854,13850,13852,449
2016/05/23,10:22:00,13853,13857,13849,13850,654
2016/05/23,10:23:00,13851,13857,13851,13857,364
2016/05/23,10:24:00,13856,13856,13851,13854,222
2016/05/23,10:25:00,13854,13854,13849,13851,332
2016/05/23,10:26:00,13850,13853,13849,13851,247
2016/05/23,10:27:00,13851,13851,13840,13843,1061
2016/05/23,10:28:00,13842,13842,13836,13841,774
2016/05/23,10:29:00,13841,13842,13839,13841,309
2016/05/23,10:30:00,13841,13849,13840,13848,604
2016/05/23,10:31:00,13848,13856,13848,13854,524
2016/05/23,10:32:00,13854,13855,13850,13853,420
2016/05/23,10:33:00,13852,13854,13850,13851,157
2016/05/23,10:34:00,13851,13857,13851,13853,343
2016/05/23,10:35:00,13853,13856,13851,13855,235
2016/05/23,10:36:00,13854,13856,13853,13855,160
2016/05/23,10:37:00,13855,13855,13851,13853,203
2016/05/23,10:38:00,13854,13859,13849,13851,687
2016/05/23,10:39:00,13852,13855,13851,13854,198
2016/05/23,10:40:00,13854,13859,13853,13859,242
2016/05/23,10:41:00,13859,13863,13858,13862,490
2016/05/23,10:42:00,13863,13868,13862,13864,642
2016/05/23,10:43:00,13864,13867,13863,13865,481
2016/05/23,10:44:00,13865,13865,13856,13859,580
2016/05/23,10:45:00,13860,13861,13857,13860,260
2016/05/23,10:46:00,13860,13864,13857,13858,356
2016/05/23,10:47:00,13858,13863,13858,13862,156
2016/05/23,10:48:00,13863,13872,13862,13863,871
2016/05/23,10:49:00,13863,13866,13862,13865,228
2016/05/23,10:50:00,13866,13866,13857,13861,514
2016/05/23,10:51:00,13861,13863,13859,13859,237
2016/05/23,10:52:00,13858,13861,13855,13856,306
2016/05/23,10:53:00,13856,13859,13852,13852,545
2016/05/23,10:54:00,13852,13857,13851,13856,294
2016/05/23,10:55:00,13856,13858,13855,13855,96
2016/05/23,10:56:00,13856,13858,13854,13858,184
2016/05/23,10:57:00,13858,13860,13857,13859,108
2016/05/23,10:58:00,13859,13860,13859,13859,77
2016/05/23,10:59:00,13860,13863,13859,13863,364
2016/05/23,11:00:00,13862,13866,13862,13865,404
2016/05/23,11:01:00,13865,13866,13861,13863,363
2016/05/23,11:02:00,13863,13866,13862,13865,129
2016/05/23,11:03:00,13866,13872,13863,13864,689
2016/05/23,11:04:00,13863,13866,13862,13866,220
2016/05/23,11:05:00,13866,13871,13865,13870,308
2016/05/23,11:06:00,13868,13868,13860,13861,491
2016/05/23,11:07:00,13861,13863,13861,13863,101
2016/05/23,11:08:00,13862,13862,13858,13862,339
2016/05/23,11:09:00,13861,13863,13860,13863,154
2016/05/23,11:10:00,13863,13865,13862,13863,122
2016/05/23,11:11:00,13863,13867,13863,13866,210
2016/05/23,11:12:00,13866,13869,13865,13869,168
2016/05/23,11:13:00,13868,13872,13868,13869,322
2016/05/23,11:14:00,13869,13871,13867,13867,259
2016/05/23,11:15:00,13868,13870,13867,13870,96
2016/05/23,11:16:00,13870,13871,13868,13870,152
2016/05/23,11:17:00,13871,13873,13869,13872,400
2016/05/23,11:18:00,13872,13882,13872,13879,1482
2016/05/23,11:19:00,13880,13883,13879,13883,430
2016/05/23,11:20:00,13883,13889,13882,13887,1383
2016/05/23,11:21:00,13889,13890,13887,13890,881
2016/05/23,11:22:00,13890,13904,13890,13904,1728
2016/05/23,11:23:00,13904,13907,13898,13899,1588
2016/05/23,11:24:00,13898,13903,13898,13900,617
2016/05/23,11:25:00,13901,13905,13900,13902,646
2016/05/23,11:26:00,13902,13904,13899,13900,668
2016/05/23,11:27:00,13900,13901,13897,13898,382
2016/05/23,11:28:00,13899,13900,13895,13897,390
2016/05/23,11:29:00,13897,13900,13895,13899,619
2016/05/23,11:30:00,13900,13902,13898,13899,311
2016/05/23,11:31:00,13899,13903,13897,13902,304
2016/05/23,11:32:00,13901,13905,13900,13903,288
2016/05/23,11:33:00,13903,13904,13902,13904,162
2016/05/23,11:34:00,13904,13911,13899,13900,1402
2016/05/23,11:35:00,13901,13903,13895,13896,690
2016/05/23,11:36:00,13897,13899,13896,13897,238
2016/05/23,11:37:00,13897,13901,13896,13900,258
2016/05/23,11:38:00,13900,13902,13896,13897,353
2016/05/23,11:39:00,13898,13901,13897,13900,135
2016/05/23,11:40:00,13900,13910,13899,13910,842
2016/05/23,11:41:00,13909,13911,13900,13901,632
2016/05/23,11:42:00,13901,13906,13901,13904,425
2016/05/23,11:43:00,13905,13910,13904,13907,322
2016/05/23,11:44:00,13907,13911,13906,13909,382
2016/05/23,11:45:00,13910,13914,13907,13911,555
2016/05/23,11:46:00,13912,13915,13906,13909,1048
2016/05/23,11:47:00,13910,13911,13908,13910,209
2016/05/23,11:48:00,13910,13914,13908,13910,377
2016/05/23,11:49:00,13910,13914,13908,13911,372
2016/05/23,11:50:00,13911,13914,13910,13912,157
2016/05/23,11:51:00,13912,13915,13910,13915,367
2016/05/23,11:52:00,13914,13920,13914,13919,901
2016/05/23,11:53:00,13918,13924,13918,13921,754
2016/05/23,11:54:00,13923,13925,13922,13925,540
2016/05/23,11:55:00,13925,13928,13921,13928,574
2016/05/23,11:56:00,13928,13935,13925,13930,1467
2016/05/23,11:57:00,13930,13931,13926,13929,564
2016/05/23,11:58:00,13929,13931,13927,13928,326
2016/05/23,11:59:00,13929,13933,13928,13932,353
2016/05/23,12:00:00,13931,13933,13927,13930,506
2016/05/23,12:01:00,13930,13933,13928,13932,348
2016/05/23,12:02:00,13933,13938,13931,13938,971
2016/05/23,12:03:00,13938,13940,13932,13934,969
2016/05/23,12:04:00,13933,13935,13933,13933,314
2016/05/23,12:05:00,13933,13934,13931,13931,185
2016/05/23,12:06:00,13931,13934,13930,13934,399
2016/05/23,12:07:00,13933,13939,13933,13935,432
2016/05/23,12:08:00,13935,13937,13933,13933,299
2016/05/23,12:09:00,13933,13935,13931,13931,168
2016/05/23,12:10:00,13931,13934,13931,13933,214
2016/05/23,12:11:00,13933,13936,13928,13928,560
2016/05/23,12:12:00,13928,13935,13927,13935,393
2016/05/23,12:13:00,13935,13936,13933,13934,228
2016/05/23,12:14:00,13934,13934,13931,13931,109
2016/05/23,12:15:00,13931,13933,13931,13932,151
2016/05/23,12:16:00,13932,13934,13931,13933,219
2016/05/23,12:17:00,13932,13933,13932,13933,34
2016/05/23,12:18:00,13933,13933,13931,13931,175
2016/05/23,12:19:00,13931,13932,13925,13925,511
2016/05/23,12:20:00,13926,13926,13920,13921,900
2016/05/23,12:21:00,13920,13923,13920,13923,277
2016/05/23,12:22:00,13923,13923,13920,13921,286
2016/05/23,12:23:00,13922,13924,13921,13922,243
2016/05/23,12:24:00,13922,13926,13921,13922,317
2016/05/23,12:25:00,13922,13924,13922,13922,124
2016/05/23,12:26:00,13922,13924,13918,13918,460
2016/05/23,12:27:00,13918,13922,13917,13920,450
2016/05/23,12:28:00,13920,13921,13919,13920,121
2016/05/23,12:29:00,13920,13920,13916,13917,368
2016/05/23,12:30:00,13917,13919,13916,13918,252
2016/05/23,12:31:00,13917,13919,13917,13919,178
2016/05/23,12:32:00,13919,13919,13917,13918,164
2016/05/23,12:33:00,13917,13918,13916,13917,209
2016/05/23,12:34:00,13918,13924,13917,13923,546
2016/05/23,12:35:00,13924,13929,13923,13927,516
2016/05/23,12:36:00,13927,13931,13927,13931,325
2016/05/23,12:37:00,13930,13931,13928,13929,217
2016/05/23,12:38:00,13928,13929,13926,13926,239
2016/05/23,12:39:00,13925,13930,13924,13928,294
2016/05/23,12:40:00,13928,13931,13927,13928,255
2016/05/23,12:41:00,13928,13931,13928,13930,147
2016/05/23,12:42:00,13930,13931,13927,13928,158
2016/05/23,12:43:00,13928,13929,13927,13928,128
2016/05/23,12:44:00,13928,13930,13928,13930,159
2016/05/23,12:45:00,13930,13930,13928,13928,93
2016/05/23,12:46:00,13929,13930,13927,13930,169
2016/05/23,12:47:00,13930,13931,13927,13928,232
2016/05/23,12:48:00,13928,13928,13925,13927,309
2016/05/23,12:49:00,13927,13929,13926,13928,154
2016/05/23,12:50:00,13928,13932,13927,13931,278
2016/05/23,12:51:00,13931,13931,13929,13930,154
2016/05/23,12:52:00,13931,13931,13927,13929,221
2016/05/23,12:53:00,13929,13931,13928,13931,141
2016/05/23,12:54:00,13930,13930,13927,13928,169
2016/05/23,12:55:00,13929,13930,13927,13927,184
2016/05/23,12:56:00,13927,13928,13926,13928,224
2016/05/23,12:57:00,13928,13928,13927,13928,59
2016/05/23,12:58:00,13928,13928,13923,13925,426
2016/05/23,12:59:00,13924,13926,13923,13926,260
2016/05/23,13:00:00,13925,13926,13923,13925,202
2016/05/23,13:01:00,13925,13926,13922,13923,341
2016/05/23,13:02:00,13923,13924,13918,13921,697
2016/05/23,13:03:00,13921,13923,13920,13922,155
2016/05/23,13:04:00,13921,13922,13920,13922,166
2016/05/23,13:05:00,13922,13923,13920,13922,228
2016/05/23,13:06:00,13922,13925,13920,13924,311
2016/05/23,13:07:00,13923,13924,13921,13923,336
2016/05/23,13:08:00,13922,13925,13922,13924,215
2016/05/23,13:09:00,13924,13925,13922,13924,251
2016/05/23,13:10:00,13924,13924,13922,13923,115
2016/05/23,13:11:00,13922,13923,13921,13921,279
2016/05/23,13:12:00,13921,13923,13920,13921,323
2016/05/23,13:13:00,13921,13921,13908,13910,2085
2016/05/23,13:14:00,13911,13919,13908,13914,644
2016/05/23,13:15:00,13914,13917,13913,13914,496
2016/05/23,13:16:00,13914,13918,13913,13916,646
2016/05/23,13:17:00,13916,13916,13913,13914,203
2016/05/23,13:18:00,13914,13917,13913,13917,297
2016/05/23,13:19:00,13917,13917,13915,13917,261
2016/05/23,13:20:00,13917,13919,13916,13919,246
2016/05/23,13:21:00,13918,13921,13917,13920,435
2016/05/23,13:22:00,13920,13923,13919,13923,434
2016/05/23,13:23:00,13922,13925,13922,13923,280
2016/05/23,13:24:00,13924,13925,13921,13922,398
2016/05/23,13:25:00,13921,13922,13920,13921,342
2016/05/23,13:26:00,13921,13924,13918,13921,864
2016/05/23,13:27:00,13920,13929,13920,13927,670
2016/05/23,13:28:00,13926,13928,13925,13927,362
2016/05/23,13:29:00,13927,13927,13925,13925,370
2016/05/23,13:30:00,13926,13932,13925,13929,1004
2016/05/23,13:31:00,13930,13930,13926,13927,815
2016/05/23,13:32:00,13926,13931,13925,13929,514
2016/05/23,13:33:00,13928,13935,13928,13935,830
2016/05/23,13:34:00,13935,13935,13929,13929,716
2016/05/23,13:35:00,13930,13932,13929,13930,409
2016/05/23,13:36:00,13931,13931,13926,13926,808
2016/05/23,13:37:00,13926,13927,13922,13923,955
2016/05/23,13:38:00,13924,13924,13922,13922,375
2016/05/23,13:39:00,13922,13926,13921,13924,598
2016/05/23,13:40:00,13923,13925,13921,13924,880
2016/05/23,13:41:00,13924,13926,13922,13926,718
2016/05/23,13:42:00,13926,13927,13925,13926,639
2016/05/23,13:43:00,13925,13929,13925,13929,664
2016/05/23,13:44:00,13928,13929,13925,13928,1012
2016/05/23,13:45:00,13927,13931,13926,13931,1642
