Date,Time,Open,High,Low,Close,Volume
2017/08/31,08:50:00,17076,17089,17074,17086,4716
2017/08/31,08:55:00,17086,17089,17083,17088,1812
2017/08/31,09:00:00,17088,17095,17087,17094,2279
2017/08/31,09:05:00,17094,17097,17088,17088,4742
2017/08/31,09:10:00,17088,17094,17084,17089,3404
2017/08/31,09:15:00,17089,17093,17070,17073,6454
2017/08/31,09:20:00,17072,17080,17068,17071,4054
2017/08/31,09:25:00,17071,17075,17055,17057,5939
2017/08/31,09:30:00,17056,17069,17051,17066,4769
2017/08/31,09:35:00,17067,17078,17060,17074,4476
2017/08/31,09:40:00,17074,17086,17074,17082,4717
2017/08/31,09:45:00,17083,17085,17075,17082,2679
2017/08/31,09:50:00,17081,17085,17067,17069,3721
2017/08/31,09:55:00,17068,17069,17062,17068,2513
2017/08/31,10:00:00,17068,17074,17065,17072,1316
2017/08/31,10:05:00,17072,17076,17067,17072,1696
2017/08/31,10:10:00,17072,17073,17062,17064,1593
2017/08/31,10:15:00,17064,17078,17063,17076,2161
2017/08/31,10:20:00,17075,17081,17074,17075,1619
2017/08/31,10:25:00,17076,17080,17076,17079,768
2017/08/31,10:30:00,17078,17081,17073,17075,1354
2017/08/31,10:35:00,17075,17083,17071,17082,1635
2017/08/31,10:40:00,17083,17084,17077,17077,1118
2017/08/31,10:45:00,17077,17080,17074,17079,889
2017/08/31,10:50:00,17079,17080,17073,17074,910
2017/08/31,10:55:00,17073,17075,17068,17071,1355
2017/08/31,11:00:00,17070,17076,17069,17074,1090
2017/08/31,11:05:00,17075,17077,17071,17074,824
2017/08/31,11:10:00,17074,17078,17073,17075,565
2017/08/31,11:15:00,17075,17077,17071,17075,674
2017/08/31,11:20:00,17075,17077,17075,17076,209
2017/08/31,11:25:00,17075,17077,17072,17076,719
2017/08/31,11:30:00,17076,17077,17073,17073,386
2017/08/31,11:35:00,17074,17074,17051,17054,6230
2017/08/31,11:40:00,17054,17059,17048,17056,3612
2017/08/31,11:45:00,17057,17061,17053,17058,1936
2017/08/31,11:50:00,17058,17059,17048,17054,1842
2017/08/31,11:55:00,17053,17057,17051,17055,1177
2017/08/31,12:00:00,17056,17058,17049,17049,1385
2017/08/31,12:05:00,17050,17055,17049,17054,881
2017/08/31,12:10:00,17054,17059,17053,17056,858
2017/08/31,12:15:00,17057,17058,17050,17058,1245
2017/08/31,12:20:00,17058,17061,17055,17058,1241
2017/08/31,12:25:00,17058,17060,17055,17056,773
2017/08/31,12:30:00,17056,17064,17055,17062,981
2017/08/31,12:35:00,17062,17063,17059,17061,526
2017/08/31,12:40:00,17060,17062,17054,17057,934
2017/08/31,12:45:00,17057,17058,17053,17056,669
2017/08/31,12:50:00,17056,17060,17055,17058,608
2017/08/31,12:55:00,17058,17059,17054,17057,487
2017/08/31,13:00:00,17056,17058,17053,17056,680
2017/08/31,13:05:00,17056,17067,17055,17061,2150
2017/08/31,13:10:00,17061,17064,17056,17057,1223
2017/08/31,13:15:00,17057,17060,17056,17057,489
2017/08/31,13:20:00,17057,17064,17057,17062,1168
2017/08/31,13:25:00,17062,17065,17059,17063,954
2017/08/31,13:30:00,17063,17071,17062,17070,3241
2017/08/31,13:35:00,17069,17071,17064,17064,2221
2017/08/31,13:40:00,17064,17067,17063,17066,2167
2017/08/31,13:45:00,17066,17068,17064,17067,1987
