Date,Time,Open,High,Low,Close,Volume
2015/01/19,08:46:00,14230,14254,14229,14242,5332
2015/01/19,08:47:00,14241,14245,14234,14234,1497
2015/01/19,08:48:00,14235,14240,14234,14238,943
2015/01/19,08:49:00,14239,14240,14235,14237,577
2015/01/19,08:50:00,14237,14241,14236,14239,626
2015/01/19,08:51:00,14239,14247,14237,14245,1176
2015/01/19,08:52:00,14244,14247,14243,14245,605
2015/01/19,08:53:00,14244,14244,14237,14238,499
2015/01/19,08:54:00,14238,14243,14238,14242,420
2015/01/19,08:55:00,14241,14242,14239,14241,177
2015/01/19,08:56:00,14242,14244,14240,14242,450
2015/01/19,08:57:00,14242,14244,14240,14242,368
2015/01/19,08:58:00,14242,14244,14241,14243,310
2015/01/19,08:59:00,14243,14244,14242,14244,199
2015/01/19,09:00:00,14244,14245,14243,14244,376
2015/01/19,09:01:00,14245,14248,14242,14245,1429
2015/01/19,09:02:00,14246,14247,14231,14236,1607
2015/01/19,09:03:00,14236,14238,14231,14238,754
2015/01/19,09:04:00,14238,14247,14238,14243,1279
2015/01/19,09:05:00,14242,14244,14234,14236,749
2015/01/19,09:06:00,14237,14244,14235,14242,839
2015/01/19,09:07:00,14242,14264,14241,14260,5155
2015/01/19,09:08:00,14260,14279,14260,14262,3816
2015/01/19,09:09:00,14262,14265,14260,14261,997
2015/01/19,09:10:00,14261,14263,14258,14260,750
2015/01/19,09:11:00,14261,14267,14255,14265,1322
2015/01/19,09:12:00,14264,14267,14258,14261,922
2015/01/19,09:13:00,14261,14264,14254,14262,921
2015/01/19,09:14:00,14262,14262,14249,14258,1337
2015/01/19,09:15:00,14259,14263,14255,14260,681
2015/01/19,09:16:00,14260,14264,14257,14257,863
2015/01/19,09:17:00,14258,14260,14251,14251,537
2015/01/19,09:18:00,14252,14257,14251,14253,375
2015/01/19,09:19:00,14253,14253,14240,14245,1575
2015/01/19,09:20:00,14244,14247,14235,14241,1246
2015/01/19,09:21:00,14241,14243,14234,14235,767
2015/01/19,09:22:00,14235,14236,14215,14216,3658
2015/01/19,09:23:00,14217,14228,14209,14227,1786
2015/01/19,09:24:00,14228,14231,14224,14227,493
2015/01/19,09:25:00,14228,14230,14223,14228,636
2015/01/19,09:26:00,14228,14228,14218,14220,935
2015/01/19,09:27:00,14220,14222,14207,14217,1367
2015/01/19,09:28:00,14216,14224,14212,14220,851
2015/01/19,09:29:00,14220,14222,14211,14219,768
2015/01/19,09:30:00,14220,14220,14213,14218,562
2015/01/19,09:31:00,14217,14222,14214,14218,576
2015/01/19,09:32:00,14218,14220,14214,14218,319
2015/01/19,09:33:00,14218,14230,14218,14227,890
2015/01/19,09:34:00,14227,14231,14225,14229,455
2015/01/19,09:35:00,14229,14234,14229,14230,696
2015/01/19,09:36:00,14230,14235,14229,14235,423
2015/01/19,09:37:00,14234,14236,14224,14230,673
2015/01/19,09:38:00,14231,14231,14227,14229,233
2015/01/19,09:39:00,14230,14230,14220,14222,448
2015/01/19,09:40:00,14222,14226,14222,14224,189
2015/01/19,09:41:00,14225,14226,14219,14221,375
2015/01/19,09:42:00,14220,14225,14219,14222,341
2015/01/19,09:43:00,14222,14226,14221,14223,174
2015/01/19,09:44:00,14223,14230,14222,14230,232
2015/01/19,09:45:00,14229,14232,14216,14218,633
2015/01/19,09:46:00,14218,14233,14218,14228,860
2015/01/19,09:47:00,14228,14229,14223,14226,221
2015/01/19,09:48:00,14227,14228,14222,14223,247
2015/01/19,09:49:00,14223,14223,14219,14219,240
2015/01/19,09:50:00,14219,14222,14214,14215,647
2015/01/19,09:51:00,14215,14226,14209,14222,1339
2015/01/19,09:52:00,14222,14222,14217,14219,305
2015/01/19,09:53:00,14219,14224,14216,14223,276
2015/01/19,09:54:00,14223,14227,14221,14225,398
2015/01/19,09:55:00,14225,14227,14222,14225,205
2015/01/19,09:56:00,14225,14226,14219,14225,287
2015/01/19,09:57:00,14226,14230,14224,14225,506
2015/01/19,09:58:00,14226,14229,14221,14223,382
2015/01/19,09:59:00,14223,14226,14220,14220,156
2015/01/19,10:00:00,14220,14225,14218,14220,241
2015/01/19,10:01:00,14221,14223,14218,14220,437
