Date,Time,Open,High,Low,Close,Volume
2017/06/30,08:46:00,16585,16594,16576,16580,3322
2017/06/30,08:47:00,16579,16587,16576,16582,1392
2017/06/30,08:48:00,16582,16585,16581,16584,400
2017/06/30,08:49:00,16584,16587,16582,16583,502
2017/06/30,08:50:00,16585,16587,16584,16585,194
2017/06/30,08:51:00,16585,16586,16581,16584,358
2017/06/30,08:52:00,16584,16587,16581,16582,595
2017/06/30,08:53:00,16583,16584,16575,16578,940
2017/06/30,08:54:00,16578,16583,16577,16581,343
2017/06/30,08:55:00,16582,16588,16579,16586,640
2017/06/30,08:56:00,16586,16587,16578,16581,395
2017/06/30,08:57:00,16581,16581,16578,16580,287
2017/06/30,08:58:00,16579,16580,16577,16580,230
2017/06/30,08:59:00,16579,16582,16579,16581,238
2017/06/30,09:00:00,16581,16583,16580,16582,307
2017/06/30,09:01:00,16581,16583,16572,16581,2210
2017/06/30,09:02:00,16581,16592,16581,16590,1871
2017/06/30,09:03:00,16590,16597,16586,16596,1391
2017/06/30,09:04:00,16597,16600,16587,16590,1484
2017/06/30,09:05:00,16590,16590,16579,16582,1806
2017/06/30,09:06:00,16583,16592,16582,16586,913
2017/06/30,09:07:00,16586,16587,16581,16586,677
2017/06/30,09:08:00,16587,16590,16581,16583,643
2017/06/30,09:09:00,16583,16584,16570,16574,2695
2017/06/30,09:10:00,16574,16579,16569,16571,1422
2017/06/30,09:11:00,16572,16572,16563,16567,2682
2017/06/30,09:12:00,16566,16570,16563,16567,1257
2017/06/30,09:13:00,16566,16571,16563,16565,1275
2017/06/30,09:14:00,16565,16576,16563,16575,1456
2017/06/30,09:15:00,16575,16575,16565,16567,853
2017/06/30,09:16:00,16567,16569,16561,16566,2173
2017/06/30,09:17:00,16565,16571,16564,16567,687
2017/06/30,09:18:00,16568,16577,16566,16574,1052
2017/06/30,09:19:00,16573,16576,16571,16575,520
2017/06/30,09:20:00,16574,16577,16571,16575,422
2017/06/30,09:21:00,16576,16577,16571,16577,745
2017/06/30,09:22:00,16575,16576,16568,16573,544
2017/06/30,09:23:00,16574,16576,16572,16575,339
2017/06/30,09:24:00,16574,16582,16572,16579,1140
2017/06/30,09:25:00,16580,16581,16575,16577,596
2017/06/30,09:26:00,16577,16580,16571,16579,751
2017/06/30,09:27:00,16579,16584,16575,16582,728
2017/06/30,09:28:00,16582,16589,16581,16585,1275
2017/06/30,09:29:00,16585,16587,16585,16587,462
2017/06/30,09:30:00,16587,16592,16586,16586,931
2017/06/30,09:31:00,16585,16598,16585,16595,2001
2017/06/30,09:32:00,16595,16599,16593,16597,1167
2017/06/30,09:33:00,16598,16605,16594,16604,1631
2017/06/30,09:34:00,16605,16608,16603,16605,1795
2017/06/30,09:35:00,16605,16607,16598,16599,809
2017/06/30,09:36:00,16600,16603,16599,16602,626
2017/06/30,09:37:00,16602,16604,16598,16599,583
2017/06/30,09:38:00,16599,16600,16590,16599,1535
2017/06/30,09:39:00,16598,16599,16594,16596,414
2017/06/30,09:40:00,16597,16599,16597,16599,307
2017/06/30,09:41:00,16599,16602,16598,16600,593
2017/06/30,09:42:00,16601,16603,16600,16601,409
2017/06/30,09:43:00,16600,16602,16598,16600,470
2017/06/30,09:44:00,16600,16601,16596,16599,353
2017/06/30,09:45:00,16599,16600,16594,16596,423
2017/06/30,09:46:00,16595,16600,16594,16599,393
2017/06/30,09:47:00,16599,16600,16594,16595,210
2017/06/30,09:48:00,16595,16596,16589,16592,1007
2017/06/30,09:49:00,16591,16600,16591,16597,785
2017/06/30,09:50:00,16598,16605,16597,16603,1226
2017/06/30,09:51:00,16604,16607,16603,16605,690
2017/06/30,09:52:00,16606,16610,16605,16609,1186
2017/06/30,09:53:00,16609,16612,16606,16606,1298
2017/06/30,09:54:00,16606,16610,16603,16609,797
2017/06/30,09:55:00,16608,16610,16606,16607,458
2017/06/30,09:56:00,16607,16609,16607,16607,186
2017/06/30,09:57:00,16608,16615,16608,16614,1541
2017/06/30,09:58:00,16613,16621,16613,16618,1512
2017/06/30,09:59:00,16617,16620,16617,16617,463
2017/06/30,10:00:00,16618,16621,16617,16620,739
2017/06/30,10:01:00,16620,16620,16616,16616,701
2017/06/30,10:02:00,16616,16619,16616,16617,321
2017/06/30,10:03:00,16617,16617,16613,16613,417
2017/06/30,10:04:00,16613,16618,16612,16617,298
2017/06/30,10:05:00,16618,16618,16616,16617,127
2017/06/30,10:06:00,16617,16622,16617,16620,635
2017/06/30,10:07:00,16620,16621,16611,16611,701
