Date,Time,Open,High,Low,Close,Volume
2003/10/17,08:50:00,6650,6651,6641,6649,422
2003/10/17,08:55:00,6649,6655,6648,6654,322
2003/10/17,09:00:00,6654,6655,6652,6654,327
2003/10/17,09:05:00,6655,6655,6647,6647,350
2003/10/17,09:10:00,6648,6664,6646,6658,761
2003/10/17,09:15:00,6659,6659,6651,6653,497
2003/10/17,09:20:00,6653,6654,6650,6652,275
2003/10/17,09:25:00,6652,6653,6642,6643,381
2003/10/17,09:30:00,6642,6643,6628,6629,701
2003/10/17,09:35:00,6629,6641,6627,6635,491
2003/10/17,09:40:00,6635,6638,6634,6638,296
2003/10/17,09:45:00,6638,6646,6636,6644,259
2003/10/17,09:50:00,6645,6648,6642,6646,222
2003/10/17,09:55:00,6645,6648,6644,6644,255
2003/10/17,10:00:00,6644,6646,6642,6642,174
2003/10/17,10:05:00,6642,6642,6637,6640,289
2003/10/17,10:10:00,6640,6641,6637,6638,186
2003/10/17,10:15:00,6637,6638,6635,6638,299
2003/10/17,10:20:00,6638,6640,6636,6640,119
2003/10/17,10:25:00,6640,6644,6639,6644,112
2003/10/17,10:30:00,6644,6644,6638,6640,78
2003/10/17,10:35:00,6638,6640,6637,6640,92
2003/10/17,10:40:00,6640,6643,6640,6641,69
2003/10/17,10:45:00,6641,6644,6641,6642,134
2003/10/17,10:50:00,6642,6644,6642,6642,100
2003/10/17,10:55:00,6643,6643,6637,6639,196
2003/10/17,11:00:00,6639,6649,6638,6649,265
2003/10/17,11:05:00,6649,6651,6643,6646,516
2003/10/17,11:10:00,6646,6647,6643,6645,137
2003/10/17,11:15:00,6645,6650,6644,6650,198
2003/10/17,11:20:00,6649,6651,6642,6642,353
2003/10/17,11:25:00,6644,6649,6643,6649,118
2003/10/17,11:30:00,6648,6649,6646,6648,158
2003/10/17,11:35:00,6648,6656,6648,6656,522
2003/10/17,11:40:00,6655,6659,6654,6658,421
2003/10/17,11:45:00,6658,6659,6650,6650,424
2003/10/17,11:50:00,6650,6651,6647,6647,291
2003/10/17,11:55:00,6648,6650,6647,6649,164
2003/10/17,12:00:00,6649,6649,6647,6648,145
2003/10/17,12:05:00,6648,6648,6642,6643,508
2003/10/17,12:10:00,6644,6646,6643,6646,58
2003/10/17,12:15:00,6646,6646,6645,6646,71
2003/10/17,12:20:00,6646,6646,6642,6645,79
2003/10/17,12:25:00,6646,6646,6644,6645,44
2003/10/17,12:30:00,6644,6645,6642,6643,97
2003/10/17,12:35:00,6642,6643,6639,6640,291
2003/10/17,12:40:00,6640,6643,6636,6641,461
2003/10/17,12:45:00,6641,6642,6638,6642,224
2003/10/17,12:50:00,6642,6645,6641,6642,114
2003/10/17,12:55:00,6643,6645,6639,6639,128
2003/10/17,13:00:00,6639,6641,6637,6639,150
2003/10/17,13:05:00,6638,6640,6637,6638,127
2003/10/17,13:10:00,6638,6638,6631,6633,532
2003/10/17,13:15:00,6633,6640,6633,6639,165
2003/10/17,13:20:00,6638,6640,6637,6639,199
2003/10/17,13:25:00,6639,6648,6639,6647,375
2003/10/17,13:30:00,6646,6647,6642,6642,224
2003/10/17,13:35:00,6643,6646,6641,6646,328
2003/10/17,13:40:00,6646,6651,6645,6651,623
2003/10/17,13:45:00,6651,6656,6651,6656,939
