Date,Time,Open,High,Low,Close,Volume
2011/08/17,08:50:00,11618,11655,11615,11649,2521
2011/08/17,08:55:00,11649,11675,11648,11660,2058
2011/08/17,09:00:00,11660,11669,11656,11661,1016
2011/08/17,09:05:00,11662,11684,11649,11655,2831
2011/08/17,09:10:00,11654,11656,11636,11643,2287
2011/08/17,09:15:00,11643,11651,11637,11637,1685
2011/08/17,09:20:00,11638,11647,11613,11623,3298
2011/08/17,09:25:00,11624,11641,11622,11639,1836
2011/08/17,09:30:00,11640,11653,11632,11648,1648
2011/08/17,09:35:00,11646,11652,11630,11631,1361
2011/08/17,09:40:00,11631,11638,11625,11630,1330
2011/08/17,09:45:00,11630,11637,11621,11636,1233
2011/08/17,09:50:00,11633,11647,11633,11642,1220
2011/08/17,09:55:00,11640,11641,11627,11632,1025
2011/08/17,10:00:00,11633,11640,11626,11628,697
2011/08/17,10:05:00,11628,11628,11582,11590,5254
2011/08/17,10:10:00,11590,11609,11588,11608,1604
2011/08/17,10:15:00,11608,11609,11593,11595,1212
2011/08/17,10:20:00,11598,11602,11578,11599,2314
2011/08/17,10:25:00,11599,11612,11598,11602,1076
2011/08/17,10:30:00,11603,11615,11599,11611,935
2011/08/17,10:35:00,11611,11627,11610,11617,1164
2011/08/17,10:40:00,11618,11623,11604,11606,941
2011/08/17,10:45:00,11606,11614,11606,11607,509
2011/08/17,10:50:00,11607,11633,11606,11624,1500
2011/08/17,10:55:00,11625,11630,11619,11622,794
2011/08/17,11:00:00,11622,11650,11621,11636,2028
2011/08/17,11:05:00,11636,11642,11632,11638,915
2011/08/17,11:10:00,11638,11659,11636,11657,1780
2011/08/17,11:15:00,11657,11665,11651,11655,1520
2011/08/17,11:20:00,11654,11660,11643,11648,1228
2011/08/17,11:25:00,11648,11654,11643,11646,621
2011/08/17,11:30:00,11646,11652,11638,11643,774
2011/08/17,11:35:00,11642,11644,11630,11633,972
2011/08/17,11:40:00,11632,11637,11628,11631,833
2011/08/17,11:45:00,11631,11642,11629,11640,609
2011/08/17,11:50:00,11640,11643,11630,11639,628
2011/08/17,11:55:00,11639,11652,11636,11650,812
2011/08/17,12:00:00,11648,11650,11640,11645,476
2011/08/17,12:05:00,11644,11646,11635,11640,642
2011/08/17,12:10:00,11640,11644,11633,11637,487
2011/08/17,12:15:00,11636,11643,11632,11633,546
2011/08/17,12:20:00,11635,11638,11611,11623,1692
2011/08/17,12:25:00,11621,11621,11605,11616,1573
2011/08/17,12:30:00,11616,11622,11610,11622,1061
2011/08/17,12:35:00,11622,11635,11616,11629,1039
2011/08/17,12:40:00,11629,11644,11627,11635,909
2011/08/17,12:45:00,11635,11640,11627,11631,496
2011/08/17,12:50:00,11631,11640,11629,11640,515
2011/08/17,12:55:00,11640,11654,11637,11652,1359
2011/08/17,13:00:00,11651,11657,11635,11649,1273
2011/08/17,13:05:00,11650,11653,11634,11635,1206
2011/08/17,13:10:00,11634,11635,11617,11618,1794
2011/08/17,13:15:00,11619,11622,11614,11621,1369
2011/08/17,13:20:00,11620,11621,11615,11616,645
2011/08/17,13:25:00,11616,11616,11612,11613,1245
2011/08/17,13:30:00,11613,11615,11613,11613,1116
