Date,Time,Open,High,Low,Close,Volume
2020/12/11,08:50:00,14290,14319,14288,14304,3969
2020/12/11,08:55:00,14303,14310,14297,14298,1574
2020/12/11,09:00:00,14298,14310,14297,14310,1181
2020/12/11,09:05:00,14309,14332,14303,14329,5615
2020/12/11,09:10:00,14329,14340,14324,14329,3621
2020/12/11,09:15:00,14327,14328,14304,14315,3281
2020/12/11,09:20:00,14317,14328,14312,14327,2013
2020/12/11,09:25:00,14327,14333,14303,14310,2873
2020/12/11,09:30:00,14308,14310,14288,14300,3085
2020/12/11,09:35:00,14300,14301,14279,14294,2911
2020/12/11,09:40:00,14294,14305,14284,14289,2208
2020/12/11,09:45:00,14290,14309,14288,14303,1991
2020/12/11,09:50:00,14302,14312,14293,14298,2010
2020/12/11,09:55:00,14299,14316,14291,14294,1990
2020/12/11,10:00:00,14294,14295,14263,14269,3877
2020/12/11,10:05:00,14269,14272,14246,14252,3813
2020/12/11,10:10:00,14251,14264,14243,14263,2679
2020/12/11,10:15:00,14262,14273,14258,14266,1836
2020/12/11,10:20:00,14267,14269,14260,14263,954
2020/12/11,10:25:00,14264,14274,14248,14248,1876
2020/12/11,10:30:00,14248,14253,14223,14224,3485
2020/12/11,10:35:00,14225,14225,14203,14214,4581
2020/12/11,10:40:00,14214,14218,14170,14171,5498
2020/12/11,10:45:00,14171,14187,14157,14166,5047
2020/12/11,10:50:00,14166,14182,14146,14180,5225
2020/12/11,10:55:00,14180,14182,14155,14161,2387
2020/12/11,11:00:00,14162,14168,14136,14138,4065
2020/12/11,11:05:00,14137,14163,14135,14155,2921
2020/12/11,11:10:00,14155,14159,14128,14136,3338
2020/12/11,11:15:00,14135,14138,14097,14098,6408
2020/12/11,11:20:00,14098,14122,14091,14121,4383
2020/12/11,11:25:00,14121,14144,14117,14140,3189
2020/12/11,11:30:00,14140,14154,14136,14150,2276
2020/12/11,11:35:00,14150,14165,14149,14160,2952
2020/12/11,11:40:00,14160,14168,14147,14152,2146
2020/12/11,11:45:00,14153,14154,14134,14140,1961
2020/12/11,11:50:00,14141,14157,14138,14155,1305
2020/12/11,11:55:00,14155,14170,14154,14162,1777
2020/12/11,12:00:00,14163,14189,14161,14185,2457
2020/12/11,12:05:00,14186,14195,14181,14182,2255
2020/12/11,12:10:00,14183,14186,14175,14181,923
2020/12/11,12:15:00,14180,14184,14173,14181,678
2020/12/11,12:20:00,14181,14199,14180,14198,1326
2020/12/11,12:25:00,14199,14205,14181,14181,1970
2020/12/11,12:30:00,14181,14185,14154,14161,2094
2020/12/11,12:35:00,14161,14168,14148,14148,1353
2020/12/11,12:40:00,14148,14165,14148,14165,711
2020/12/11,12:45:00,14165,14169,14154,14165,658
2020/12/11,12:50:00,14165,14172,14158,14169,754
2020/12/11,12:55:00,14169,14186,14166,14181,1897
2020/12/11,13:00:00,14181,14194,14181,14187,1297
2020/12/11,13:05:00,14187,14197,14186,14191,1273
2020/12/11,13:10:00,14192,14214,14191,14211,2616
2020/12/11,13:15:00,14210,14235,14210,14233,2774
2020/12/11,13:20:00,14233,14245,14230,14239,2681
2020/12/11,13:25:00,14238,14246,14234,14234,1839
2020/12/11,13:30:00,14234,14245,14233,14240,1925
2020/12/11,13:35:00,14240,14244,14236,14241,1833
2020/12/11,13:40:00,14240,14243,14238,14243,1088
2020/12/11,13:45:00,14242,14244,14235,14236,1869
