      date            diff        maxBonus    maxBonusTime         maxLoss     maxLossTime
2019/07/08             -63              20        10:55:00             -56        09:30:00
2019/07/09              23               0        00:00:00             -57        11:30:00
2019/07/10              49              38        11:15:00             -10        10:05:00
2019/07/11              70              31        11:10:00             -29        09:20:00
2019/07/12             -25               0        00:00:00             -41        10:10:00
2019/07/15              -2              78        09:35:00             -50        11:25:00
2019/07/16              14              28        09:45:00             -12        09:05:00
2019/07/17             -39              32        11:10:00             -17        10:00:00
2019/07/18            -206               0        00:00:00             -51        09:35:00
2019/07/19             106              35        10:15:00              -1        09:05:00
2019/07/22              -9               0        00:00:00             -63        11:30:00
2019/07/23              28              14        10:00:00             -37        10:50:00
2019/07/24              14              18        09:05:00             -19        10:25:00
2019/07/25              21               0        00:00:00             -56        09:10:00
2019/07/26             -41              16        09:25:00             -14        10:20:00
2019/07/29              -8              35        09:05:00              -9        09:35:00
2019/07/30              37              17        09:05:00             -63        10:00:00
2019/07/31             -31              47        10:35:00             -18        09:45:00
2019/08/01            -102              12        11:05:00             -62        10:10:00
2019/08/02            -126              77        10:40:00             -17        09:05:00
2019/08/05             -48              62        11:30:00             -39        09:10:00
2019/08/06            -283               0        00:00:00            -248        11:25:00
2019/08/07              -1              29        10:45:00             -45        09:05:00
2019/08/08              25              82        10:00:00             -32        09:05:00
2019/08/12               0              49        09:10:00             -38        10:30:00
2019/08/13             -56              66        10:05:00             -15        09:05:00
2019/08/14             115              35        09:20:00             -11        10:35:00
2019/08/15            -174               0        00:00:00             -80        10:00:00
2019/08/16              14              85        11:30:00             -27        09:45:00
