Date,Time,Open,High,Low,Close,Volume
2021/07/13,08:50:00,17958,17982,17954,17980,4305
2021/07/13,08:55:00,17979,17990,17978,17986,1337
2021/07/13,09:00:00,17985,17995,17980,17989,1522
2021/07/13,09:05:00,17989,17992,17965,17984,4198
2021/07/13,09:10:00,17986,17999,17975,17992,3051
2021/07/13,09:15:00,17992,17999,17976,17989,2275
2021/07/13,09:20:00,17989,18005,17962,17972,3671
2021/07/13,09:25:00,17971,17983,17950,17980,2706
2021/07/13,09:30:00,17978,17992,17961,17969,2160
2021/07/13,09:35:00,17968,17970,17929,17960,5132
2021/07/13,09:40:00,17961,17982,17960,17982,2218
2021/07/13,09:45:00,17982,17986,17968,17977,1715
2021/07/13,09:50:00,17977,17984,17954,17959,1879
2021/07/13,09:55:00,17958,17981,17944,17980,2022
2021/07/13,10:00:00,17978,18019,17973,18016,6470
2021/07/13,10:05:00,18016,18026,18005,18022,3640
2021/07/13,10:10:00,18021,18025,18002,18009,1585
2021/07/13,10:15:00,18010,18025,17999,18021,1598
2021/07/13,10:20:00,18020,18030,18012,18022,2345
2021/07/13,10:25:00,18022,18023,17991,17993,1768
2021/07/13,10:30:00,17993,18004,17984,17991,1952
2021/07/13,10:35:00,17991,18002,17968,17975,2706
2021/07/13,10:40:00,17975,17983,17956,17982,2377
2021/07/13,10:45:00,17983,17983,17960,17966,1292
2021/07/13,10:50:00,17964,17970,17952,17960,1840
2021/07/13,10:55:00,17959,17978,17956,17976,1361
2021/07/13,11:00:00,17976,17988,17973,17984,1146
2021/07/13,11:05:00,17984,17988,17978,17980,787
2021/07/13,11:10:00,17981,17997,17981,17992,1914
2021/07/13,11:15:00,17991,17996,17985,17986,623
2021/07/13,11:20:00,17985,17987,17973,17981,965
2021/07/13,11:25:00,17982,17985,17967,17967,919
2021/07/13,11:30:00,17968,17977,17964,17968,935
2021/07/13,11:35:00,17967,17973,17955,17960,1055
2021/07/13,11:40:00,17959,17961,17912,17912,5226
2021/07/13,11:45:00,17913,17922,17901,17916,4262
2021/07/13,11:50:00,17917,17931,17912,17929,2118
2021/07/13,11:55:00,17929,17943,17927,17940,1591
2021/07/13,12:00:00,17940,17943,17933,17934,931
2021/07/13,12:05:00,17936,17938,17914,17922,1240
2021/07/13,12:10:00,17922,17928,17911,17916,821
2021/07/13,12:15:00,17916,17942,17916,17936,973
2021/07/13,12:20:00,17936,17943,17931,17942,572
2021/07/13,12:25:00,17941,17941,17914,17917,847
2021/07/13,12:30:00,17918,17931,17913,17922,697
2021/07/13,12:35:00,17923,17927,17916,17921,595
2021/07/13,12:40:00,17920,17933,17908,17930,1275
2021/07/13,12:45:00,17930,17930,17881,17884,4281
2021/07/13,12:50:00,17883,17890,17870,17872,2822
2021/07/13,12:55:00,17872,17903,17870,17895,1795
2021/07/13,13:00:00,17894,17903,17890,17895,1137
2021/07/13,13:05:00,17895,17898,17875,17880,1105
2021/07/13,13:10:00,17880,17881,17835,17840,3214
2021/07/13,13:15:00,17839,17856,17835,17835,2040
2021/07/13,13:20:00,17836,17844,17824,17842,2706
2021/07/13,13:25:00,17840,17853,17840,17853,1470
2021/07/13,13:30:00,17853,17858,17844,17858,1719
2021/07/13,13:35:00,17857,17864,17853,17863,1771
2021/07/13,13:40:00,17863,17872,17860,17866,961
2021/07/13,13:45:00,17866,17872,17865,17869,1548
