Date,Time,Open,High,Low,Close,Volume
2012/06/13,08:46:00,10989,10998,10985,10991,1888
2012/06/13,08:47:00,10990,10992,10984,10985,695
2012/06/13,08:48:00,10984,10985,10977,10983,832
2012/06/13,08:49:00,10983,10985,10980,10981,352
2012/06/13,08:50:00,10981,10984,10978,10979,465
2012/06/13,08:51:00,10979,10980,10971,10974,982
2012/06/13,08:52:00,10975,10976,10970,10974,461
2012/06/13,08:53:00,10974,10978,10973,10976,225
2012/06/13,08:54:00,10976,10977,10974,10974,173
2012/06/13,08:55:00,10975,10979,10974,10978,204
2012/06/13,08:56:00,10979,10979,10975,10977,243
2012/06/13,08:57:00,10977,10982,10976,10980,348
2012/06/13,08:58:00,10980,10981,10977,10977,200
2012/06/13,08:59:00,10978,10979,10976,10976,110
2012/06/13,09:00:00,10976,10979,10976,10977,147
2012/06/13,09:01:00,10977,10981,10973,10973,821
2012/06/13,09:02:00,10973,10978,10969,10977,836
2012/06/13,09:03:00,10977,10981,10976,10980,450
2012/06/13,09:04:00,10981,10984,10978,10978,567
2012/06/13,09:05:00,10979,10982,10976,10979,359
2012/06/13,09:06:00,10978,10982,10974,10977,497
2012/06/13,09:07:00,10977,10985,10976,10982,553
2012/06/13,09:08:00,10983,10984,10974,10975,474
2012/06/13,09:09:00,10975,10977,10972,10975,438
2012/06/13,09:10:00,10976,10976,10972,10974,404
2012/06/13,09:11:00,10975,10982,10975,10979,395
2012/06/13,09:12:00,10979,10982,10977,10982,352
2012/06/13,09:13:00,10982,10984,10978,10984,345
2012/06/13,09:14:00,10983,10990,10982,10990,888
2012/06/13,09:15:00,10990,10994,10985,10988,910
2012/06/13,09:16:00,10989,10990,10984,10987,463
2012/06/13,09:17:00,10988,10992,10987,10990,379
2012/06/13,09:18:00,10990,10992,10989,10992,340
2012/06/13,09:19:00,10992,11004,10991,11000,2010
2012/06/13,09:20:00,11001,11010,11000,11004,1434
2012/06/13,09:21:00,11004,11006,11001,11001,640
2012/06/13,09:22:00,11001,11005,11001,11001,340
2012/06/13,09:23:00,11001,11002,10998,10999,489
2012/06/13,09:24:00,11000,11001,10998,11000,329
2012/06/13,09:25:00,11000,11003,10999,11002,211
2012/06/13,09:26:00,11001,11003,11000,11002,290
2012/06/13,09:27:00,11001,11002,10994,10996,525
2012/06/13,09:28:00,10997,11000,10996,10998,291
2012/06/13,09:29:00,10998,11001,10996,10998,272
2012/06/13,09:30:00,10998,11003,10998,11003,297
2012/06/13,09:31:00,11003,11004,10999,11000,366
2012/06/13,09:32:00,11001,11001,10992,10994,492
2012/06/13,09:33:00,10995,10997,10994,10997,176
2012/06/13,09:34:00,10996,10996,10990,10991,437
2012/06/13,09:35:00,10991,10993,10989,10989,447
2012/06/13,09:36:00,10989,10994,10986,10994,767
2012/06/13,09:37:00,10994,10994,10989,10992,247
2012/06/13,09:38:00,10991,10993,10991,10992,201
2012/06/13,09:39:00,10992,10993,10988,10990,318
2012/06/13,09:40:00,10990,10993,10990,10993,140
2012/06/13,09:41:00,10993,10994,10991,10993,213
2012/06/13,09:42:00,10993,10995,10992,10995,159
2012/06/13,09:43:00,10995,10995,10993,10994,108
2012/06/13,09:44:00,10993,10994,10988,10989,516
2012/06/13,09:45:00,10989,10990,10985,10987,557
2012/06/13,09:46:00,10986,10989,10980,10980,902
2012/06/13,09:47:00,10980,10982,10976,10980,868
2012/06/13,09:48:00,10980,10980,10976,10978,498
2012/06/13,09:49:00,10978,10979,10972,10973,956
2012/06/13,09:50:00,10973,10974,10964,10968,1887
2012/06/13,09:51:00,10967,10973,10967,10971,641
2012/06/13,09:52:00,10971,10972,10968,10970,357
2012/06/13,09:53:00,10969,10974,10968,10972,441
2012/06/13,09:54:00,10971,10973,10970,10973,266
2012/06/13,09:55:00,10973,10973,10969,10971,294
2012/06/13,09:56:00,10971,10972,10967,10970,471
2012/06/13,09:57:00,10970,10970,10965,10967,562
2012/06/13,09:58:00,10967,10967,10958,10965,1519
2012/06/13,09:59:00,10965,10968,10963,10963,339
2012/06/13,10:00:00,10964,10968,10961,10966,401
2012/06/13,10:01:00,10967,10972,10965,10969,513
2012/06/13,10:02:00,10970,10970,10967,10970,191
2012/06/13,10:03:00,10970,10970,10968,10968,125
2012/06/13,10:04:00,10968,10969,10965,10967,253
