Date,Time,Open,High,Low,Close,Volume
2019/04/09,08:50:00,10801,10802,10792,10801,2291
2019/04/09,08:55:00,10800,10801,10792,10796,921
2019/04/09,09:00:00,10795,10797,10793,10795,609
2019/04/09,09:05:00,10794,10796,10783,10789,3132
2019/04/09,09:10:00,10789,10793,10783,10786,1777
2019/04/09,09:15:00,10786,10790,10783,10789,1127
2019/04/09,09:20:00,10789,10792,10782,10790,1864
2019/04/09,09:25:00,10790,10800,10789,10797,2746
2019/04/09,09:30:00,10797,10805,10794,10803,2891
2019/04/09,09:35:00,10802,10805,10796,10803,2278
2019/04/09,09:40:00,10802,10807,10802,10806,1814
2019/04/09,09:45:00,10805,10806,10790,10793,2445
2019/04/09,09:50:00,10793,10798,10791,10795,1039
2019/04/09,09:55:00,10795,10796,10789,10795,1374
2019/04/09,10:00:00,10796,10802,10794,10797,1288
2019/04/09,10:05:00,10797,10802,10796,10799,794
2019/04/09,10:10:00,10799,10804,10799,10804,774
2019/04/09,10:15:00,10803,10807,10802,10803,1246
2019/04/09,10:20:00,10804,10805,10798,10802,770
2019/04/09,10:25:00,10802,10805,10802,10805,564
2019/04/09,10:30:00,10804,10805,10803,10804,325
2019/04/09,10:35:00,10805,10807,10800,10801,1029
2019/04/09,10:40:00,10800,10803,10798,10801,876
2019/04/09,10:45:00,10801,10807,10801,10805,679
2019/04/09,10:50:00,10806,10811,10805,10809,1803
2019/04/09,10:55:00,10810,10813,10809,10810,1331
2019/04/09,11:00:00,10810,10824,10810,10823,3156
2019/04/09,11:05:00,10823,10838,10823,10828,4363
2019/04/09,11:10:00,10828,10833,10827,10828,1362
2019/04/09,11:15:00,10829,10830,10824,10827,1553
2019/04/09,11:20:00,10828,10831,10825,10827,687
2019/04/09,11:25:00,10826,10833,10826,10833,586
2019/04/09,11:30:00,10833,10833,10827,10829,506
2019/04/09,11:35:00,10830,10836,10830,10835,1020
2019/04/09,11:40:00,10835,10835,10831,10832,413
2019/04/09,11:45:00,10832,10833,10829,10829,452
2019/04/09,11:50:00,10829,10830,10827,10828,350
2019/04/09,11:55:00,10829,10836,10828,10836,757
2019/04/09,12:00:00,10836,10838,10833,10834,598
2019/04/09,12:05:00,10834,10837,10832,10833,536
2019/04/09,12:10:00,10833,10834,10830,10831,442
2019/04/09,12:15:00,10831,10831,10828,10829,495
2019/04/09,12:20:00,10829,10831,10828,10830,330
2019/04/09,12:25:00,10830,10831,10827,10828,456
2019/04/09,12:30:00,10828,10832,10827,10830,365
2019/04/09,12:35:00,10829,10832,10829,10831,242
2019/04/09,12:40:00,10831,10832,10830,10832,259
2019/04/09,12:45:00,10832,10834,10830,10832,532
2019/04/09,12:50:00,10831,10833,10829,10830,564
2019/04/09,12:55:00,10829,10830,10828,10828,372
2019/04/09,13:00:00,10828,10833,10827,10832,529
2019/04/09,13:05:00,10832,10835,10832,10834,499
2019/04/09,13:10:00,10833,10837,10833,10834,652
2019/04/09,13:15:00,10835,10835,10832,10834,342
2019/04/09,13:20:00,10834,10836,10832,10832,601
2019/04/09,13:25:00,10833,10838,10832,10837,882
2019/04/09,13:30:00,10837,10844,10834,10843,2217
2019/04/09,13:35:00,10843,10848,10839,10843,2405
2019/04/09,13:40:00,10842,10844,10840,10841,1472
2019/04/09,13:45:00,10840,10845,10840,10843,2425
