Date,Time,Open,High,Low,Close,Volume
2016/06/13,08:50:00,14220,14221,14196,14209,6730
2016/06/13,08:55:00,14209,14210,14195,14195,3209
2016/06/13,09:00:00,14195,14199,14191,14193,2703
2016/06/13,09:05:00,14193,14203,14175,14193,7799
2016/06/13,09:10:00,14192,14196,14167,14170,5277
2016/06/13,09:15:00,14170,14179,14155,14158,6097
2016/06/13,09:20:00,14156,14164,14137,14140,7135
2016/06/13,09:25:00,14139,14147,14135,14138,3868
2016/06/13,09:30:00,14136,14143,14120,14126,5657
2016/06/13,09:35:00,14126,14140,14121,14127,4632
2016/06/13,09:40:00,14126,14127,14108,14126,6090
2016/06/13,09:45:00,14126,14134,14117,14129,3246
2016/06/13,09:50:00,14131,14131,14115,14127,2925
2016/06/13,09:55:00,14126,14132,14122,14126,2210
2016/06/13,10:00:00,14127,14127,14118,14123,1500
2016/06/13,10:05:00,14124,14139,14121,14138,3217
2016/06/13,10:10:00,14138,14145,14137,14143,2727
2016/06/13,10:15:00,14143,14143,14125,14130,2403
2016/06/13,10:20:00,14130,14138,14129,14137,1450
2016/06/13,10:25:00,14136,14138,14130,14133,1260
2016/06/13,10:30:00,14134,14140,14131,14139,842
2016/06/13,10:35:00,14138,14140,14132,14135,1360
2016/06/13,10:40:00,14134,14134,14125,14128,1499
2016/06/13,10:45:00,14128,14130,14123,14126,1069
2016/06/13,10:50:00,14126,14128,14121,14126,1337
2016/06/13,10:55:00,14126,14127,14120,14122,1291
2016/06/13,11:00:00,14123,14125,14117,14125,1300
2016/06/13,11:05:00,14125,14130,14122,14122,840
2016/06/13,11:10:00,14122,14126,14115,14122,1525
2016/06/13,11:15:00,14122,14127,14121,14123,555
2016/06/13,11:20:00,14123,14128,14122,14128,810
2016/06/13,11:25:00,14127,14134,14122,14134,1598
2016/06/13,11:30:00,14134,14135,14130,14133,1465
2016/06/13,11:35:00,14133,14135,14131,14133,910
2016/06/13,11:40:00,14133,14133,14124,14125,1201
2016/06/13,11:45:00,14125,14128,14122,14125,1126
2016/06/13,11:50:00,14125,14129,14123,14127,765
2016/06/13,11:55:00,14127,14132,14126,14127,1091
2016/06/13,12:00:00,14127,14129,14122,14126,1209
2016/06/13,12:05:00,14127,14128,14124,14127,458
2016/06/13,12:10:00,14126,14127,14120,14120,919
2016/06/13,12:15:00,14120,14124,14102,14105,2943
2016/06/13,12:20:00,14104,14112,14103,14108,2063
2016/06/13,12:25:00,14108,14110,14098,14103,2776
2016/06/13,12:30:00,14102,14105,14100,14103,1000
2016/06/13,12:35:00,14102,14109,14101,14104,1371
2016/06/13,12:40:00,14104,14104,14090,14092,2596
2016/06/13,12:45:00,14090,14100,14089,14095,1332
2016/06/13,12:50:00,14094,14103,14093,14099,994
2016/06/13,12:55:00,14099,14099,14094,14095,660
2016/06/13,13:00:00,14096,14098,14092,14093,1028
2016/06/13,13:05:00,14093,14094,14087,14092,1975
2016/06/13,13:10:00,14092,14097,14091,14095,1564
2016/06/13,13:15:00,14095,14106,14095,14105,2872
2016/06/13,13:20:00,14104,14109,14101,14103,2368
2016/06/13,13:25:00,14103,14104,14095,14095,1519
2016/06/13,13:30:00,14096,14101,14090,14098,2775
2016/06/13,13:35:00,14098,14106,14096,14105,3372
2016/06/13,13:40:00,14106,14111,14104,14109,3173
2016/06/13,13:45:00,14110,14113,14109,14110,3524
